name,image,dm3,dlv1,vv
cody,1,68,8,15
cody,2,4,1,9
cody,3,55,5,16
cody,4,39,16,14
cody,5,3,3,5
cody,6,20,0,5
cody,7,NA,5,1
diego,1,7,4,7
diego,2,5,8,2
diego,3,4,7,5
diego,4,6,5,2
diego,5,3,6,5
franklin,1,NA,15,9
franklin,2,NA,3,2
franklin,3,NA,11,8
franklin,4,32,9,9
franklin,5,NA,4,5
franklin,6,NA,4,14
gabriel,1,64,32,9
gabriel,2,25,19,28
gabriel,3,24,11,5
gabriel,4,50,9,13
gabriel,5,69,12,7
gabriel,6,39,1,13
kevin,1,NA,0,18
kevin,2,51,3,14
kevin,3,23,1,8
kevin,4,36,1,9
kevin,5,57,0,13
liam,2,71,32,11
liam,3,63,16,2
liam,5,46,10,2
nehemiah,1,39,3,5
nehemiah,2,54,0,1
nehemiah,3,49,36,14
nehemiah,4,56,4,9
nehemiah,5,48,38,7
nehemiah,6,38,26,8
pacey,1,56,5,27
pacey,2,81,2,12
pacey,3,22,4,17
pacey,4,49,28,4
pacey,5,79,25,4
ronaldo,1,65,14,33
ronaldo,2,45,13,18
ronaldo,3,28,7,13
ronaldo,4,70,3,28
ronaldo,5,64,1,32
steven,1,36,25,24
steven,2,62,22,23
steven,3,43,6,20
steven,4,51,16,21
steven,5,49,11,18
steven,6,60,17,17
trent,1,26,6,10
trent,2,23,13,4
trent,3,24,3,8
trent,4,29,17,7
trent,5,35,19,6
trent,6,NA,16,NA
vincent,1,31,1,0
vincent,2,59,2,0
vincent,3,2,1,2
vincent,4,0,1,NA
vincent,5,40,13,3
vincent,6,63,10,6
winnie,1,97,25,7
winnie,2,94,25,11
winnie,3,49,40,15
winnie,4,124,7,10
winnie,5,101,52,17
winnie,6,75,24,15
