time,code,class
0,n_a,1
102.671,gill_covered_display,1
104.206,lateral_swimming,1
105.23,n_a,1
114.18,gill_covered_display,1
117.252,lateral_swimming,1
118.524,n_a,1
143.111,gill_covered_display,1
144.379,lateral_swimming,1
147.215,n_a,1
148.48,surface_breathing,1
149.754,n_a,1
153.289,gill_covered_display,1
155.856,n_a,1
171.204,gill_covered_display,1
174.78,n_a,1
180.175,gill_covered_display,1
182.217,n_a,1
182.719,gill_covered_display,1
186.555,n_a,1
188.092,gill_covered_display,1
192.461,lateral_swimming,1
193.996,n_a,1
195.961,surface_breathing,1
196.996,n_a,1
222.857,gill_covered_display,1
223.888,n_a,1
225.927,gill_covered_display,1
234.126,surface_breathing,1
235.662,gill_covered_display,1
238.97,lateral_swimming,1
241.007,n_a,1
244.844,gill_covered_display,1
245.611,n_a,1
250.486,gill_covered_display,1
252.522,n_a,1
257.659,gill_covered_display,1
261.231,lateral_swimming,1
263.27,n_a,1
268.666,gill_covered_display,1
271.471,n_a,1
272.238,gill_covered_display,1
277.88,lateral_swimming,1
279.673,n_a,1
282.484,gill_covered_display,1
287.591,lateral_swimming,1
289.892,surface_breathing,1
298.867,lateral_swimming,1
304.236,n_a,1
306.277,gill_covered_display,1
311.915,lateral_swimming,1
314.217,n_a,1
318.055,gill_covered_display,1
324.985,n_a,1
327.796,gill_covered_display,1
335.974,n_a,1
338.537,surface_breathing,1
342.138,n_a,1
346.479,gill_covered_display,1
346.983,n_a,1
349.552,gill_covered_display,1
354.128,lateral_swimming,1
356.959,n_a,1
359.891,gill_covered_display,1
364.767,lateral_swimming,1
380.345,gill_covered_display,1
382.381,lateral_swimming,1
386.218,gill_covered_display,1
390.693,surface_breathing,1
397.095,n_a,1
400.17,gill_covered_display,1
405.543,n_a,1
407.609,gill_covered_display,1
409.644,lateral_swimming,1
416.05,n_a,1
417.851,gill_covered_display,1
420.653,lateral_swimming,1
422.592,gill_covered_display,1
423.887,lateral_swimming,1
425.16,gill_covered_display,1
426.695,lateral_swimming,1
431.033,gill_covered_display,1
432.334,lateral_swimming,1
441.541,gill_covered_display,1
443.078,lateral_swimming,1
445.647,n_a,1
447.182,gill_covered_display,1
448.716,lateral_swimming,1
456.656,gill_covered_display,1
457.923,lateral_swimming,1
459.727,gill_covered_display,1
463.564,n_a,1
464.59,gill_covered_display,1
467.033,ramming_biting,1
468.161,gill_covered_display,1
469.733,lateral_swimming,1
478.18,ramming_biting,1
481.748,surface_breathing,1
482.986,lateral_swimming,1
485.882,surface_breathing,1
487.155,lateral_swimming,1
492.525,surface_breathing,1
496.632,tail_beat,1
506.343,ramming_biting,1
509.415,lateral_swimming,1
513.012,gill_covered_display,1
516.644,lateral_swimming,1
519.189,tail_beat,1
522.522,ramming_biting,1
528.163,gill_covered_display,1
530.724,lateral_swimming,1
537.372,gill_covered_display,1
538.406,lateral_swimming,1
541.229,tail_beat,1
542.021,ramming_biting,1
543.209,gill_covered_display,1
544.505,lateral_swimming,1
547.578,ramming_biting,1
550.651,lateral_swimming,1
553.959,tail_beat,1
554.986,ramming_biting,1
557.291,lateral_swimming,1
558.521,ramming_biting,1
567.669,lateral_swimming,1
572.539,tail_beat,1
574.309,ramming_biting,1
582.778,lateral_swimming,1
583.786,gill_covered_display,1
586.353,lateral_swimming,1
592.231,tail_beat,1
592.761,ramming_biting,1
594.03,lateral_swimming,1
595.792,ramming_biting,1
597.764,gill_covered_display,1
601.102,lateral_swimming,1
602.367,surface_breathing,1
606.209,ramming_biting,1
607.739,gill_covered_display,1
610.576,ramming_biting,1
613.884,gill_covered_display,1
617.486,surface_breathing,1
618.51,ramming_biting,1
620.987,tail_beat,1
623.527,ramming_biting,1
628.902,tail_beat,1
631.389,ramming_biting,1
638.86,lateral_swimming,1
640.706,END,0
