time,code,class,
572.694,n_a,1,0
741.278,gill_covered_display,1,168.584
741.818,lateral_swimming,1,169.124
744.518,n_a,1,171.824
754.481,lateral_swimming,1,181.787
759.369,n_a,1,186.675
765.758,lateral_swimming,1,193.064
771.699,n_a,1,199.005
774.4,lateral_swimming,1,201.706
777.37,n_a,1,204.676
841.541,gill_covered_display,1,268.847
843.704,lateral_swimming,1,271.01
850.995,gill_covered_display,1,278.301
853.965,lateral_swimming,1,281.271
856.395,n_a,1,283.701
857.475,gill_covered_display,1,284.781
858.552,lateral_swimming,1,285.858
860.985,n_a,1,288.291
862.872,gill_covered_display,1,290.178
864.761,lateral_swimming,1,292.067
875.568,gill_covered_display,1,302.874
883.129,lateral_swimming,1,310.435
883.669,gill_covered_display,1,310.975
886.639,gill_covered_display,1,313.945
891.141,n_a,1,318.447
899.243,gill_covered_display,1,326.549
900.593,n_a,1,327.899
901.129,gill_covered_display,1,328.435
903.023,n_a,1,330.329
905.183,gill_covered_display,1,332.489
907.609,surface_breathing,1,334.915
908.693,n_a,1,335.999
919.311,lateral_swimming,1,346.617
921.021,ramming_biting,1,348.327
922.821,lateral_swimming,1,350.127
925.341,gill_covered_display,1,352.647
927.501,tail_beat,1,354.807
933.621,ramming_biting,1,360.927
935.061,n_a,1,362.367
937.221,ramming_biting,1,364.527
938.841,n_a,1,366.147
943.521,gill_covered_display,1,370.827
948.922,lateral_swimming,1,376.228
950.362,surface_breathing,1,377.668
950.902,lateral_swimming,1,378.208
953.423,surface_breathing,1,380.729
954.503,ramming_biting,1,381.809
955.942,lateral_swimming,1,383.248
960.623,gill_covered_display,1,387.929
964.224,lateral_swimming,1,391.53
965.485,surface_breathing,1,392.791
967.375,lateral_swimming,1,394.681
968.633,tail_beat,1,395.939
970.255,lateral_swimming,1,397.561
971.694,ramming_biting,1,399
973.855,lateral_swimming,1,401.161
974.755,ramming_biting,1,402.061
975.476,lateral_swimming,1,402.782
976.556,tail_beat,1,403.862
978.716,ramming_biting,1,406.022
979.436,lateral_swimming,1,406.742
980.336,gill_covered_display,1,407.642
981.596,surface_breathing,1,408.902
983.756,gill_covered_display,1,411.062
990.777,lateral_swimming,1,418.083
994.555,gill_covered_display,1,421.861
999.595,lateral_swimming,1,426.901
1001.937,gill_covered_display,1,429.243
1003.196,lateral_swimming,1,430.502
1006.078,gill_covered_display,1,433.384
1009.676,surface_breathing,1,436.982
1010.578,gill_covered_display,1,437.884
1013.458,surface_breathing,1,440.764
1014.898,gill_covered_display,1,442.204
1015.438,ramming_biting,1,442.744
1016.876,gill_covered_display,1,444.182
1020.298,ramming_biting,1,447.604
1022.638,surface_breathing,1,449.944
1024.797,lateral_swimming,1,452.103
1030.468,ramming_biting,1,457.774
1036.59,surface_breathing,1,463.896
1037.67,lateral_swimming,1,464.976
1038.389,gill_covered_display,1,465.695
1040.73,ramming_biting,1,468.036
1043.068,surface_breathing,1,470.374
1044.691,lateral_swimming,1,471.997
1047.121,ramming_biting,1,474.427
1048.382,lateral_swimming,1,475.688
1049.104,gill_covered_display,1,476.41
1050.542,lateral_swimming,1,477.848
1052.884,surface_breathing,1,480.19
1054.144,lateral_swimming,1,481.45
1056.844,gill_covered_display,1,484.15
1062.784,ramming_biting,1,490.09
1066.204,surface_breathing,1,493.51
1068.004,gill_covered_display,1,495.31
1070.344,lateral_swimming,1,497.65
1073.224,surface_breathing,1,500.53
1073.764,lateral_swimming,1,501.07
1074.484,ramming_biting,1,501.79
1080.154,lateral_swimming,1,507.46
1087.354,surface_breathing,1,514.66
1088.254,lateral_swimming,1,515.56
1090.595,ramming_biting,1,517.901
1103.555,surface_breathing,1,530.861
1106.075,ramming_biting,1,533.381
1108.775,gill_covered_display,1,536.081
1109.854,ramming_biting,1,537.16
1119.755,n_a,1,547.061
1120.295,ramming_biting,1,547.601
1128.217,gill_covered_display,1,555.523
1129.656,ramming_biting,1,556.962
1136.138,n_a,1,563.444
1137.936,surface_breathing,1,565.242
1139.558,n_a,1,566.864
1146.938,surface_breathing,1,574.244
1147.298,n_a,1,574.604
1148.376,gill_covered_display,1,575.682
1156.839,ramming_biting,1,584.145
1162.33,n_a,1,589.636
1177.091,surface_breathing,1,604.397
1177.631,n_a,1,604.937
1178.531,gill_covered_display,1,605.837
1180.328,lateral_swimming,1,607.634
1184.11,ramming_biting,1,611.416
1186.091,n_a,1,613.397
1191.311,gill_covered_display,1,618.617
1193.471,ramming_biting,1,620.777
1195.99,lateral_swimming,1,623.296
1200.492,ramming_biting,1,627.798
1203.73,n_a,1,631.036
1204.45,surface_breathing,1,631.756
1205.171,n_a,1,632.477
1206.611,ramming_biting,1,633.917
1211.772,gill_covered_display,1,639.078
1213.321,ramming_biting,1,640.627
1220.942,n_a,1,648.248
1221.659,END,0,648.965
