time,code,class
0,n_a,1
169.577,gill_covered_display,1
170.387,lateral_swimming,1
173.357,n_a,1
180.013,lateral_swimming,1
182.782,gill_covered_display,1
182.893,lateral_swimming,1
184.262,gill_covered_display,1
190.727,n_a,1
194.509,lateral_swimming,1
204.768,n_a,1
269.844,gill_covered_display,1
271.193,lateral_swimming,1
280.374,gill_covered_display,1
281.994,lateral_swimming,1
289.374,n_a,1
290.722,gill_covered_display,1
292.884,lateral_swimming,1
303.326,gill_covered_display,1
304.677,lateral_swimming,1
306.565,gill_covered_display,1
308.188,lateral_swimming,1
311.157,gill_covered_display,1
315.476,lateral_swimming,1
318.716,surface_breathing,1
323.037,gill_covered_display,1
327.902,lateral_swimming,1
328.982,gill_covered_display,1
329.792,ramming_biting,1
330.869,lateral_swimming,1
331.682,ramming_biting,1
332.761,gill_covered_display,1
334.382,lateral_swimming,1
335.462,surface_breathing,1
337.557,lateral_swimming,1
349.045,ramming_biting,1
351.017,lateral_swimming,1
353.243,gill_covered_display,1
354.222,lateral_swimming,1
358.588,surface_breathing,1
361.833,ramming_biting,1
371.307,gill_covered_display,1
376.95,lateral_swimming,1
379.108,surface_breathing,1
381.459,ramming_biting,1
384.335,lateral_swimming,1
387.035,gill_covered_display,1
388.925,lateral_swimming,1
392.702,surface_breathing,1
400.627,ramming_biting,1
408.997,lateral_swimming,1
409.803,surface_breathing,1
417.098,ramming_biting,1
421.054,lateral_swimming,1
424.569,gill_covered_display,1
430.779,lateral_swimming,1
434.289,gill_covered_display,1
437.525,ramming_biting,1
438.609,surface_breathing,1
440.765,lateral_swimming,1
443.738,ramming_biting,1
450.67,surface_breathing,1
459.04,ramming_biting,1
465.247,surface_breathing,1
467.682,ramming_biting,1
471.462,surface_breathing,1
475.24,ramming_biting,1
481.186,surface_breathing,1
485.506,ramming_biting,1
494.686,surface_breathing,1
495.491,lateral_swimming,1
501.431,surface_breathing,1
502.786,ramming_biting,1
509.266,lateral_swimming,1
515.566,surface_breathing,1
517.726,lateral_swimming,1
519.076,ramming_biting,1
555.259,surface_breathing,1
557.685,ramming_biting,1
566.33,surface_breathing,1
568.49,lateral_swimming,1
575.505,surface_breathing,1
576.86,gill_covered_display,1
583.878,ramming_biting,1
592.522,n_a,1
599.272,lateral_swimming,1
605.482,surface_breathing,1
608.182,gill_covered_display,1
613.309,ramming_biting,1
615.203,gill_covered_display,1
618.173,surface_breathing,1
619.793,gill_covered_display,1
621.413,ramming_biting,1
624.113,lateral_swimming,1
628.703,ramming_biting,1
632.753,surface_breathing,1
635.183,ramming_biting,1
649.688,n_a,1
649.688,END,0
