time,code,class
0,n_a,1
24.664,surface_breathing,1
26.01,n_a,1
142.754,surface_breathing,1
144.645,gill_covered_display,1
149.685,lateral_swimming,1
151.302,gill_covered_display,1
157.347,lateral_swimming,1
157.97,gill_covered_display,1
172.727,lateral_swimming,1
174.077,gill_covered_display,1
205.578,tail_beat,1
210.704,n_a,1
213.049,gill_covered_display,1
216.377,n_a,1
218.536,gill_covered_display,1
225.285,n_a,1
228.889,gill_covered_display,1
232.938,n_a,1
234.56,gill_covered_display,1
237.351,n_a,1
258.142,lateral_swimming,1
260.842,gill_covered_display,1
262.732,lateral_swimming,1
264.352,gill_covered_display,1
266.782,n_a,1
269.482,gill_covered_display,1
272.448,n_a,1
274.343,gill_covered_display,1
277.039,n_a,1
277.583,gill_covered_display,1
279.471,n_a,1
280.008,gill_covered_display,1
281.633,n_a,1
282.173,gill_covered_display,1
286.223,tail_beat,1
290,n_a,1
304.866,gill_covered_display,1
315.655,n_a,1
320.154,gill_covered_display,1
323.935,n_a,1
326.452,gill_covered_display,1
327.175,n_a,1
329.333,gill_covered_display,1
330.955,n_a,1
337.793,gill_covered_display,1
338.332,n_a,1
339.595,gill_covered_display,1
341.396,n_a,1
346.252,gill_covered_display,1
348.236,n_a,1
348.774,gill_covered_display,1
351.656,lateral_swimming,1
353.096,n_a,1
358.226,gill_covered_display,1
359.666,n_a,1
376.677,gill_covered_display,1
377.577,lateral_swimming,1
378.477,n_a,1
395.578,gill_covered_display,1
396.838,lateral_swimming,1
397.379,n_a,1
402.059,gill_covered_display,1
409.616,lateral_swimming,1
410.336,n_a,1
417.36,gill_covered_display,1
419.341,n_a,1
430.859,gill_covered_display,1
431.942,lateral_swimming,1
433.202,n_a,1
448.323,gill_covered_display,1
451.38,n_a,1
454.081,gill_covered_display,1
457.682,lateral_swimming,1
458.763,n_a,1
464.883,surface_breathing,1
465.961,n_a,1
477.303,gill_covered_display,1
479.283,lateral_swimming,1
480.183,n_a,1
489.634,gill_covered_display,1
491.434,lateral_swimming,1
491.974,n_a,1
509.794,surface_breathing,1
510.514,n_a,1
520.771,gill_covered_display,1
522.573,lateral_swimming,1
524.012,gill_covered_display,1
525.815,lateral_swimming,1
527.075,n_a,1
529.775,gill_covered_display,1
531.215,n_a,1
533.194,gill_covered_display,1
534.455,lateral_swimming,1
534.993,n_a,1
560.828,gill_covered_display,1
562.086,lateral_swimming,1
562.449,n_a,1
581.891,gill_covered_display,1
584.771,lateral_swimming,1
585.851,n_a,1
610.868,gill_covered_display,1
611.951,lateral_swimming,1
614.651,n_a,1
642.917,gill_covered_display,1
644.897,n_a,1
665.957,gill_covered_display,1
667.04,lateral_swimming,1
668.839,n_a,1
676.943,gill_covered_display,1
679.283,lateral_swimming,1
680.181,n_a,1
692.063,gill_covered_display,1
693.682,lateral_swimming,1
694.943,n_a,1
718.168,END,0
