time,code,class
641.98,upper,1
647.551,middle,1
651.78,upper,1
668.827,middle,1
685.31,upper,1
701.619,middle,1
709.746,upper,1
754.411,middle,1
757.311,mirror,1
849.325,middle,1
850.83,mirror,1
895.578,middle,1
895.578,mirror,1
1046.074,middle,1
1046.677,mirror,1
1069.814,middle,1
1070.639,mirror,1
1087.589,middle,1
1092.689,mirror,1
1152.812,middle,1
1154.389,mirror,1
1184.599,middle,1
1186.199,mirror,1
1202.699,middle,1
1205.899,upper,1
1209.324,middle,1
1222.624,mirror,1
1270.568,middle,1
1273.493,mirror,1
1279.04,middle,1
1280.093,upper,1
1307.963,END,0
