time,code,class
632.48,upper,1
740.186,middle,1
750.686,mirror,1
766.836,middle,1
778.386,upper,1
826.333,middle,1
838.67,mirror,1
853.99,middle,1
856.094,upper,1
856.645,middle,1
865.645,mirror,1
873.02,middle,1
878.044,mirror,1
885.292,middle,1
896.395,mirror,1
904.92,middle,1
906.245,upper,1
916.745,middle,1
924.42,mirror,1
939.195,middle,1
941.87,mirror,1
949.59,middle,1
952.52,mirror,1
974.541,middle,1
976.945,mirror,1
983.82,middle,1
985.945,mirror,1
999.695,middle,1
1002.345,mirror,1
1021.92,middle,1
1024.816,mirror,1
1028.245,middle,1
1029.345,mirror,1
1033.87,middle,1
1035.47,mirror,1
1041.02,middle,1
1043.37,mirror,1
1057.042,middle,1
1060.22,mirror,1
1072.593,middle,1
1076.045,mirror,1
1087.495,middle,1
1089.92,mirror,1
1102.92,middle,1
1104.245,mirror,1
1286.47,upper,1
1291.095,mirror,1
1307.755,END,0
