time,code,class
1322.236,upper,1
1322.236,upper,1
1322.236,upper,1
1347.429,middle,1
1347.429,middle,1
1364.75,upper,1
1364.75,upper,1
1364.75,upper,1
1371.38,middle,1
1371.38,middle,1
1373.392,mirror,1
1373.392,mirror,1
1373.392,mirror,1
1390.202,middle,1
1390.202,middle,1
1392.27,mirror,1
1392.27,mirror,1
1392.27,mirror,1
1395.805,middle,1
1395.805,middle,1
1397.343,mirror,1
1397.343,mirror,1
1397.343,mirror,1
1402.447,middle,1
1402.447,middle,1
1404.48,mirror,1
1404.48,mirror,1
1404.48,mirror,1
1417.798,middle,1
1417.798,middle,1
1419.333,mirror,1
1419.333,mirror,1
1419.333,mirror,1
1424.971,middle,1
1424.971,middle,1
1426.979,upper,1
1426.979,upper,1
1426.979,upper,1
1429.009,middle,1
1429.009,middle,1
1431.575,mirror,1
1431.575,mirror,1
1431.575,mirror,1
1435.621,middle,1
1435.621,middle,1
1438.692,mirror,1
1438.692,mirror,1
1438.692,mirror,1
1468.28,middle,1
1468.28,middle,1
1477.353,mirror,1
1477.353,mirror,1
1477.353,mirror,1
1486.934,middle,1
1486.934,middle,1
1490,mirror,1
1490,mirror,1
1490,mirror,1
1520.995,middle,1
1520.995,middle,1
1521.764,upper,1
1521.764,upper,1
1521.764,upper,1
1525.604,middle,1
1525.604,middle,1
1530.708,mirror,1
1530.708,mirror,1
1530.708,mirror,1
1535.075,middle,1
1535.075,middle,1
1536.349,upper,1
1536.349,upper,1
1536.349,upper,1
1541.218,middle,1
1541.218,middle,1
1546.327,mirror,1
1546.327,mirror,1
1546.327,mirror,1
1550.164,middle,1
1550.164,middle,1
1556.567,upper,1
1556.567,upper,1
1557.307,mirror,1
1557.307,mirror,1
1557.307,mirror,1
1562.938,middle,1
1562.938,middle,1
1565.242,upper,1
1565.242,upper,1
1565.242,upper,1
1572.414,middle,1
1572.414,middle,1
1576.522,upper,1
1576.522,upper,1
1576.522,upper,1
1589.068,middle,1
1589.068,middle,1
1590.601,mirror,1
1590.601,mirror,1
1590.601,mirror,1
1603.647,middle,1
1603.647,middle,1
1608.252,mirror,1
1608.252,mirror,1
1608.252,mirror,1
1625.234,middle,1
1625.234,middle,1
1629.076,mirror,1
1629.076,mirror,1
1629.076,mirror,1
1632.676,middle,1
1632.676,middle,1
1639.842,mirror,1
1639.842,mirror,1
1639.842,mirror,1
1648.292,middle,1
1648.292,middle,1
1651.093,mirror,1
1651.093,mirror,1
1651.093,mirror,1
1665.174,middle,1
1665.174,middle,1
1666.448,upper,1
1666.448,upper,1
1666.448,upper,1
1696.405,middle,1
1696.405,middle,1
1701.519,mirror,1
1701.519,mirror,1
1701.519,mirror,1
1711.257,middle,1
1711.257,middle,1
1714.082,mirror,1
1714.082,mirror,1
1714.082,mirror,1
1718.928,middle,1
1718.928,middle,1
1722.766,mirror,1
1722.766,mirror,1
1722.766,mirror,1
1726.102,middle,1
1726.102,middle,1
1732.002,mirror,1
1732.002,mirror,1
1732.002,mirror,1
1741.719,middle,1
1741.719,middle,1
1742.224,mirror,1
1742.224,mirror,1
1742.224,mirror,1
1747.094,middle,1
1747.094,middle,1
1751.196,mirror,1
1751.196,mirror,1
1751.196,mirror,1
1766.544,middle,1
1766.544,middle,1
1770.915,mirror,1
1770.915,mirror,1
1770.915,mirror,1
1775.521,middle,1
1775.521,middle,1
1777.314,mirror,1
1777.314,mirror,1
1777.314,mirror,1
1788.301,middle,1
1788.301,middle,1
1789.331,mirror,1
1789.331,mirror,1
1789.331,mirror,1
1790.866,middle,1
1790.866,middle,1
1795.234,upper,1
1795.234,upper,1
1795.234,upper,1
1820.833,middle,1
1820.833,middle,1
1822.367,mirror,1
1822.367,mirror,1
1822.367,mirror,1
1836.448,middle,1
1836.448,middle,1
1839.519,mirror,1
1839.519,mirror,1
1839.519,mirror,1
1842.322,middle,1
1842.322,middle,1
1843.857,upper,1
1843.857,upper,1
1843.857,upper,1
1844.625,middle,1
1844.625,middle,1
1848.724,mirror,1
1848.724,mirror,1
1848.724,mirror,1
1852.829,middle,1
1852.829,middle,1
1854.096,upper,1
1854.096,upper,1
1854.096,upper,1
1865.878,middle,1
1865.878,middle,1
1871.779,mirror,1
1871.779,mirror,1
1871.779,mirror,1
1877.392,middle,1
1877.392,middle,1
1884.062,mirror,1
1884.062,mirror,1
1884.062,mirror,1
1895.311,middle,1
1895.311,middle,1
1901.98,mirror,1
1901.98,mirror,1
1901.98,mirror,1
1909.922,middle,1
1909.922,middle,1
1916.062,mirror,1
1916.062,mirror,1
1916.062,mirror,1
1927.072,middle,1
1927.072,middle,1
1932.707,mirror,1
1932.707,mirror,1
1932.707,mirror,1
1937.549,middle,1
1937.549,middle,1
1945.188,mirror,1
1945.188,mirror,1
1945.188,mirror,1
1951.33,middle,1
1951.33,middle,1
1960.036,mirror,1
1960.036,mirror,1
1960.036,mirror,1
1987.049,middle,1
1987.049,middle,1
1991.053,END,0
