time,code,class
1312.956,upper,1
1312.956,upper,1
1312.956,upper,1
1405.585,middle,1
1405.585,middle,1
1414.291,mirror,1
1414.291,mirror,1
1414.291,mirror,1
1419.165,middle,1
1419.165,middle,1
1420.7,upper,1
1420.7,upper,1
1420.7,upper,1
1422.999,middle,1
1422.999,middle,1
1427.106,mirror,1
1427.106,mirror,1
1427.106,mirror,1
1431.711,middle,1
1431.711,middle,1
1432.739,upper,1
1432.739,upper,1
1432.739,upper,1
1453.363,upper,1
1453.363,upper,1
1453.09,middle,1
1453.09,middle,1
1455.636,mirror,1
1455.636,mirror,1
1455.636,mirror,1
1460.003,middle,1
1460.003,middle,1
1462.544,upper,1
1462.544,upper,1
1462.544,upper,1
1481.56,middle,1
1481.56,middle,1
1483.6,mirror,1
1483.6,mirror,1
1483.6,mirror,1
1500.513,middle,1
1500.513,middle,1
1507.418,middle,1
1507.418,middle,1
1508.685,upper,1
1508.685,upper,1
1508.685,upper,1
1547.725,middle,1
1547.725,middle,1
1549.264,mirror,1
1549.264,mirror,1
1549.264,mirror,1
1554.639,middle,1
1554.639,middle,1
1555.935,upper,1
1555.935,upper,1
1555.935,upper,1
1563.609,middle,1
1563.609,middle,1
1571.042,mirror,1
1571.042,mirror,1
1571.042,mirror,1
1576.921,middle,1
1576.921,middle,1
1579.489,upper,1
1579.489,upper,1
1579.489,upper,1
1585.632,middle,1
1585.632,middle,1
1587.934,mirror,1
1587.934,mirror,1
1587.934,mirror,1
1593.304,middle,1
1593.304,middle,1
1595.873,mirror,1
1595.873,mirror,1
1595.873,mirror,1
1615.586,middle,1
1615.586,middle,1
1617.364,upper,1
1617.364,upper,1
1617.364,upper,1
1620.963,middle,1
1620.963,middle,1
1622.232,mirror,1
1622.232,mirror,1
1622.232,mirror,1
1628.371,middle,1
1628.371,middle,1
1633.506,mirror,1
1633.506,mirror,1
1633.506,mirror,1
1638.882,middle,1
1638.882,middle,1
1642.978,mirror,1
1642.978,mirror,1
1642.978,mirror,1
1650.395,middle,1
1650.395,middle,1
1654.736,upper,1
1654.736,upper,1
1654.736,upper,1
1662.673,middle,1
1662.673,middle,1
1664.208,mirror,1
1664.208,mirror,1
1664.208,mirror,1
1670.351,middle,1
1670.351,middle,1
1672.653,upper,1
1672.653,upper,1
1672.653,upper,1
1673.442,middle,1
1673.442,middle,1
1674.978,mirror,1
1674.978,mirror,1
1674.978,mirror,1
1711.058,middle,1
1711.058,middle,1
1714.128,mirror,1
1714.128,mirror,1
1720.062,middle,1
1720.062,middle,1
1720.569,mirror,1
1720.569,mirror,1
1720.569,mirror,1
1955.037,END,0
