time,code,class
1323.003,upper,1
1323.003,upper,1
1323.003,upper,1
1357.969,middle,1
1357.969,middle,1
1364.112,mirror,1
1364.112,mirror,1
1364.112,mirror,1
1390.603,middle,1
1390.603,middle,1
1392.64,upper,1
1392.64,upper,1
1392.64,upper,1
1432.943,middle,1
1432.943,middle,1
1439.351,mirror,1
1439.351,mirror,1
1439.351,mirror,1
1446.69,middle,1
1446.69,middle,1
1449.232,mirror,1
1449.232,mirror,1
1449.232,mirror,1
1454.627,middle,1
1454.627,middle,1
1460.772,upper,1
1460.772,upper,1
1460.772,upper,1
1468.706,middle,1
1468.706,middle,1
1471.251,mirror,1
1471.251,mirror,1
1471.251,mirror,1
1479.956,middle,1
1479.956,middle,1
1482.767,mirror,1
1482.767,mirror,1
1482.767,mirror,1
1490.705,middle,1
1490.705,middle,1
1513.66,mirror,1
1513.66,mirror,1
1513.66,mirror,1
1536.716,middle,1
1536.716,middle,1
1538.509,upper,1
1538.509,upper,1
1538.509,upper,1
1555.401,middle,1
1555.401,middle,1
1558.205,mirror,1
1558.205,mirror,1
1558.205,mirror,1
1566.65,middle,1
1566.65,middle,1
1568.449,upper,1
1568.449,upper,1
1568.449,upper,1
1571.518,middle,1
1571.518,middle,1
1575.62,mirror,1
1575.62,mirror,1
1575.62,mirror,1
1581.759,middle,1
1581.759,middle,1
1585.097,upper,1
1585.097,upper,1
1585.097,upper,1
1596.346,middle,1
1596.346,middle,1
1603.515,mirror,1
1603.515,mirror,1
1603.515,mirror,1
1614.528,middle,1
1614.528,middle,1
1617.358,upper,1
1617.358,upper,1
1617.358,upper,1
1669.881,middle,1
1669.881,middle,1
1681.128,mirror,1
1681.128,mirror,1
1681.128,mirror,1
1698.543,middle,1
1698.808,middle,1
1700.581,upper,1
1700.581,upper,1
1700.581,upper,1
1715.193,middle,1
1715.193,middle,1
1717.731,mirror,1
1717.731,mirror,1
1717.731,mirror,1
1727.207,middle,1
1727.207,middle,1
1729.273,upper,1
1729.273,upper,1
1729.273,upper,1
1752.296,middle,1
1752.296,middle,1
1754.867,upper,1
1754.867,upper,1
1754.867,upper,1
1799.907,middle,1
1799.907,middle,1
1801.947,mirror,1
1801.947,mirror,1
1801.947,mirror,1
1805.52,middle,1
1805.52,middle,1
1807.822,upper,1
1807.822,upper,1
1807.822,upper,1
1832.913,middle,1
1832.913,middle,1
1843.683,upper,1
1843.683,upper,1
1843.683,upper,1
1849.292,middle,1
1849.292,middle,1
1851.361,mirror,1
1851.361,mirror,1
1851.361,mirror,1
1858.005,middle,1
1858.005,middle,1
1859.539,upper,1
1859.539,upper,1
1859.539,upper,1
1869.778,middle,1
1869.778,middle,1
1872.611,mirror,1
1872.611,mirror,1
1872.611,mirror,1
1880.789,middle,1
1880.789,middle,1
1892.067,mirror,1
1892.067,mirror,1
1892.067,mirror,1
1899.709,middle,1
1899.709,middle,1
1902.281,upper,1
1902.281,upper,1
1902.281,upper,1
1904.846,middle,1
1904.846,middle,1
1908.919,mirror,1
1908.919,mirror,1
1908.919,mirror,1
1920.462,middle,1
1920.462,middle,1
1922.766,upper,1
1922.766,upper,1
1922.766,upper,1
1928.64,middle,1
1928.64,middle,1
1932.237,mirror,1
1932.237,mirror,1
1932.237,mirror,1
1946.557,middle,1
1946.557,middle,1
1949.39,upper,1
1949.39,upper,1
1949.39,upper,1
1978.591,END,0
