time,code,class
591.498,upper,1
613.548,middle,1
618.413,mirror,1
623.543,middle,1
626.783,upper,1
635.154,middle,1
643.794,upper,1
695.095,middle,1
696.718,mirror,1
699.958,middle,1
702.118,upper,1
725.88,middle,1
728.579,mirror,1
829.928,middle,1
831.546,upper,1
838.841,middle,1
845.859,mirror,1
858.007,middle,1
872.051,mirror,1
881.231,middle,1
882.854,upper,1
887.984,middle,1
895.541,mirror,1
915.613,middle,1
921.016,mirror,1
924.526,middle,1
929.924,mirror,1
933.973,middle,1
935.056,upper,1
940.186,middle,1
941.806,mirror,1
944.776,middle,1
949.094,mirror,1
953.416,middle,1
954.497,upper,1
963.137,middle,1
967.187,mirror,1
970.967,middle,1
971.777,upper,1
981.766,middle,1
986.358,mirror,1
989.329,middle,1
990.135,upper,1
995.808,middle,1
998.505,mirror,1
1001.746,middle,1
1002.558,upper,1
1019.028,middle,1
1021.73,mirror,1
1025.508,middle,1
1027.403,upper,1
1036.311,middle,1
1039.012,mirror,1
1043.87,middle,1
1047.293,mirror,1
1050.262,middle,1
1051.343,upper,1
1054.313,middle,1
1057.014,upper,1
1065.654,middle,1
1068.08,mirror,1
1072.134,middle,1
1073.213,upper,1
1076.18,middle,1
1080.775,mirror,1
1084.283,middle,1
1084.823,upper,1
1108.582,middle,1
1111.824,mirror,1
1119.116,middle,1
1124.786,mirror,1
1127.216,middle,1
1128.026,upper,1
1149.895,middle,1
1151.518,mirror,1
1154.759,middle,1
1157.369,upper,1
1164.39,middle,1
1173.031,mirror,1
1177.89,middle,1
1178.699,upper,1
1184.098,middle,1
1185.182,upper,1
1187.88,middle,1
1193.282,upper,1
1195.441,middle,1
1201.018,mirror,1
1205.342,middle,1
1206.151,upper,1
1226.672,middle,1
1229.914,upper,1
1233.155,middle,1
1233.697,mirror,1
1237.208,middle,1
1238.017,upper,1
1247.194,middle,1
1250.164,upper,1
1252.597,middle,1
1256.921,mirror,1
1261.241,middle,1
1262.316,upper,1
1263.671,middle,1
1267.448,mirror,1
1272.584,middle,1
1273.934,upper,1
1274.744,middle,1
1283.2,mirror,1
1287.253,middle,1
1289.684,upper,1
1291.034,middle,1
1294.811,upper,1
1295.894,middle,1
1308.047,END,0
