time,code,class
1415.161,upper,1
1415.161,upper,1
1415.161,upper,1
1438.242,middle,1
1438.242,middle,1
1448.495,mirror,1
1448.495,mirror,1
1448.495,mirror,1
1465.381,middle,1
1465.381,middle,1
1468.214,upper,1
1468.214,upper,1
1468.214,upper,1
1475.889,middle,1
1475.889,middle,1
1487.865,upper,1
1487.865,upper,1
1487.865,upper,1
1506.317,middle,1
1506.317,middle,1
1527.808,upper,1
1527.808,upper,1
1527.808,upper,1
1535.483,middle,1
1535.483,middle,1
1538.814,mirror,1
1538.814,mirror,1
1538.814,mirror,1
1548.92,middle,1
1548.92,middle,1
1551.463,upper,1
1551.463,upper,1
1551.463,upper,1
1557.367,middle,1
1557.367,middle,1
1561.704,mirror,1
1561.704,mirror,1
1561.704,mirror,1
1588.202,middle,1
1588.202,middle,1
1593.837,upper,1
1593.837,upper,1
1593.837,upper,1
1599.11,middle,1
1599.11,middle,1
1601.412,mirror,1
1601.412,mirror,1
1601.412,mirror,1
1613.892,middle,1
1613.892,middle,1
1616.461,upper,1
1616.461,upper,1
1616.461,upper,1
1656.461,middle,1
1656.461,middle,1
1661.572,mirror,1
1661.572,mirror,1
1661.572,mirror,1
1700.076,middle,1
1700.076,middle,1
1706.987,mirror,1
1706.987,mirror,1
1706.987,mirror,1
1712.121,middle,1
1712.121,middle,1
1715.193,mirror,1
1715.193,mirror,1
1715.193,mirror,1
1723.127,middle,1
1723.127,middle,1
1732.281,mirror,1
1732.281,mirror,1
1732.281,mirror,1
1772.481,middle,1
1772.481,middle,1
1779.896,mirror,1
1779.896,mirror,1
1779.896,mirror,1
1813.025,middle,1
1813.025,middle,1
1819.428,mirror,1
1819.428,mirror,1
1819.428,mirror,1
1829.774,middle,1
1829.774,middle,1
1832.077,mirror,1
1832.077,mirror,1
1832.077,mirror,1
1843.785,middle,1
1843.785,middle,1
1852.23,mirror,1
1852.23,mirror,1
1852.23,mirror,1
1856.832,middle,1
1856.832,middle,1
1859.64,upper,1
1859.64,upper,1
1859.64,upper,1
1862.713,middle,1
1862.713,middle,1
1865.278,mirror,1
1865.278,mirror,1
1865.278,mirror,1
1870.146,middle,1
1870.146,middle,1
1880.122,mirror,1
1880.122,mirror,1
1880.122,mirror,1
1889.866,middle,1
1889.866,middle,1
1893.965,upper,1
1893.965,upper,1
1893.965,upper,1
1895.502,middle,1
1895.502,middle,1
1902.414,mirror,1
1902.414,mirror,1
1902.414,mirror,1
1909.052,middle,1
1909.052,middle,1
1914.691,upper,1
1914.691,upper,1
1914.691,upper,1
1919.802,middle,1
1919.802,middle,1
1924.937,mirror,1
1924.937,mirror,1
1924.937,mirror,1
1932.608,middle,1
1932.608,middle,1
1938.509,mirror,1
1938.509,mirror,1
1938.509,mirror,1
1958.837,middle,1
1958.837,middle,1
1961.14,mirror,1
1961.14,mirror,1
1961.14,mirror,1
1967.011,middle,1
1967.011,middle,1
1971.087,mirror,1
1971.087,mirror,1
1971.087,mirror,1
1984.529,middle,1
1984.529,middle,1
1985.998,upper,1
1985.998,upper,1
1985.998,upper,1
1988.831,middle,1
1988.831,middle,1
1991.635,mirror,1
1991.635,mirror,1
1991.635,mirror,1
2000.08,middle,1
2000.08,middle,1
2008.488,mirror,1
2008.488,mirror,1
2008.488,mirror,1
2010.023,middle,1
2010.023,middle,1
2017.462,mirror,1
2017.462,mirror,1
2017.462,mirror,1
2028.238,middle,1
2028.238,middle,1
2029.243,upper,1
2029.243,upper,1
2029.243,upper,1
2045.389,middle,1
2045.389,middle,1
2072.25,upper,1
2072.25,upper,1
2072.25,upper,1
2092.734,middle,1
2092.734,middle,1
2096.073,upper,1
2096.073,upper,1
2096.073,upper,1
2117.427,END,0
