time,code,class
1423.868,upper,1
1423.868,upper,1
1423.868,upper,1
1475.557,middle,1
1475.557,middle,1
1485.332,upper,1
1485.332,upper,1
1485.332,upper,1
1492.236,middle,1
1492.236,middle,1
1504.547,mirror,1
1504.547,mirror,1
1504.547,mirror,1
1520.664,middle,1
1520.664,middle,1
1522.198,upper,1
1522.198,upper,1
1522.198,upper,1
1527.57,middle,1
1527.57,middle,1
1529.877,mirror,1
1529.877,mirror,1
1529.877,mirror,1
1534.113,middle,1
1534.113,middle,1
1535.648,upper,1
1535.648,upper,1
1535.648,upper,1
1547.923,middle,1
1547.923,middle,1
1559.437,mirror,1
1559.437,mirror,1
1559.437,mirror,1
1564.815,middle,1
1564.815,middle,1
1565.583,upper,1
1565.583,upper,1
1565.583,upper,1
1569.812,middle,1
1569.812,middle,1
1574.354,mirror,1
1574.354,mirror,1
1574.354,mirror,1
1578.591,middle,1
1578.591,middle,1
1579.359,upper,1
1579.359,upper,1
1579.359,upper,1
1587.802,middle,1
1587.802,middle,1
1593.941,mirror,1
1593.941,mirror,1
1593.941,mirror,1
1597.137,middle,1
1597.137,middle,1
1598.165,upper,1
1598.165,upper,1
1598.165,upper,1
1606.148,middle,1
1606.148,middle,1
1608.188,mirror,1
1608.188,mirror,1
1608.188,mirror,1
1611.259,middle,1
1611.259,middle,1
1612.795,upper,1
1612.795,upper,1
1612.795,upper,1
1616.653,middle,1
1616.653,middle,1
1625.87,mirror,1
1625.87,mirror,1
1625.87,mirror,1
1631.745,middle,1
1631.745,middle,1
1632.508,upper,1
1632.508,upper,1
1632.508,upper,1
1637.382,middle,1
1637.382,middle,1
1639.683,mirror,1
1639.683,mirror,1
1639.683,mirror,1
1643.259,middle,1
1643.259,middle,1
1644.286,upper,1
1644.286,upper,1
1644.286,upper,1
1655.567,middle,1
1655.567,middle,1
1661.965,mirror,1
1661.965,mirror,1
1661.965,mirror,1
1665.806,middle,1
1665.806,middle,1
1666.809,upper,1
1666.809,upper,1
1666.809,upper,1
1670.147,middle,1
1670.147,middle,1
1675.522,mirror,1
1675.522,mirror,1
1675.522,mirror,1
1682.19,middle,1
1682.19,middle,1
1683.196,upper,1
1683.196,upper,1
1683.196,upper,1
1688.568,middle,1
1688.568,middle,1
1698.812,upper,1
1698.812,upper,1
1698.812,upper,1
1720.57,middle,1
1720.57,middle,1
1722.369,mirror,1
1722.369,mirror,1
1722.369,mirror,1
1727.741,middle,1
1727.741,middle,1
1729.276,upper,1
1729.276,upper,1
1729.276,upper,1
1732.877,middle,1
1732.877,middle,1
1734.914,mirror,1
1734.914,mirror,1
1734.914,mirror,1
1737.483,middle,1
1737.483,middle,1
1738.752,upper,1
1738.752,upper,1
1738.752,upper,1
1742.35,middle,1
1742.35,middle,1
1753.357,upper,1
1753.357,upper,1
1753.357,upper,1
1754.126,middle,1
1754.126,middle,1
1762.81,mirror,1
1762.81,mirror,1
1762.81,mirror,1
1766.669,middle,1
1766.669,middle,1
1767.678,upper,1
1767.678,upper,1
1767.678,upper,1
1779.194,middle,1
1779.194,middle,1
1793.535,upper,1
1793.535,upper,1
1793.535,upper,1
1817.597,middle,1
1817.597,middle,1
1821.434,mirror,1
1821.434,mirror,1
1821.434,mirror,1
1827.338,middle,1
1827.338,middle,1
1830.143,mirror,1
1830.143,mirror,1
1830.143,mirror,1
1833.978,middle,1
1833.978,middle,1
1835.514,upper,1
1835.514,upper,1
1835.514,upper,1
1845.759,middle,1
1845.759,middle,1
1847.054,mirror,1
1847.054,mirror,1
1847.054,mirror,1
1851.663,middle,1
1851.663,middle,1
1853.435,upper,1
1853.435,upper,1
1853.435,upper,1
1875.05,middle,1
1875.05,middle,1
1876.855,mirror,1
1876.855,mirror,1
1876.855,mirror,1
1880.693,middle,1
1880.693,middle,1
1882.226,upper,1
1882.226,upper,1
1882.226,upper,1
1886.064,middle,1
1886.064,middle,1
1896.305,mirror,1
1896.305,mirror,1
1896.305,mirror,1
1899.11,middle,1
1899.11,middle,1
1900.145,upper,1
1900.145,upper,1
1900.145,upper,1
1905.249,middle,1
1905.249,middle,1
1911.656,mirror,1
1911.656,mirror,1
1911.656,mirror,1
1915.495,middle,1
