time,code,class
680.697,upper,1
762.959,middle,1
774.125,upper,1
783.842,middle,1
787.354,mirror,1
821.289,middle,1
823.984,upper,1
836.68,middle,1
839.381,mirror,1
876.193,middle,1
878.891,mirror,1
890.051,middle,1
892.484,upper,1
905.714,middle,1
907.599,mirror,1
939.465,middle,1
941.897,upper,1
946.489,middle,1
948.646,mirror,1
978.351,middle,1
983.747,upper,1
1004.812,middle,1
1006.967,mirror,1
1018.31,middle,1
1020.742,upper,1
1077.897,middle,1
1082.757,upper,1
1122.358,middle,1
1128.299,mirror,1
1164.214,middle,1
1170.424,upper,1
1214.341,middle,1
1219.472,mirror,1
1233.782,middle,1
1236.218,upper,1
1269.528,middle,1
1275.102,mirror,1
1310.472,middle,1
1316.953,mirror,1
1332.344,middle,1
1398.77,mirror,1
1414.163,END,0
