time,code,class
1339.621,upper,1
1339.621,upper,1
1339.621,upper,1
1394.467,middle,1
1394.467,middle,1
1401.616,mirror,1
1401.616,mirror,1
1401.616,mirror,1
1413.658,middle,1
1413.658,middle,1
1414.692,mirror,1
1414.692,mirror,1
1414.692,mirror,1
1421.331,middle,1
1421.331,middle,1
1421.839,mirror,1
1421.839,mirror,1
1421.839,mirror,1
1429.009,middle,1
1429.009,middle,1
1431.843,mirror,1
1431.843,mirror,1
1431.843,mirror,1
1441.385,middle,1
1441.385,middle,1
1442.919,mirror,1
1442.919,mirror,1
1442.919,mirror,1
1456.759,middle,1
1456.759,middle,1
1459.064,mirror,1
1459.064,mirror,1
1459.064,mirror,1
1486.136,middle,1
1486.136,middle,1
1486.925,mirror,1
1486.925,mirror,1
1486.925,mirror,1
1506.32,middle,1
1506.32,middle,1
1508.622,mirror,1
1508.622,mirror,1
1508.622,mirror,1
1515.661,middle,1
1515.661,middle,1
1516.163,mirror,1
1516.163,mirror,1
1516.163,mirror,1
1521.801,middle,1
1521.801,middle,1
1523.598,mirror,1
1523.598,mirror,1
1523.598,mirror,1
1549.26,middle,1
1549.26,middle,1
1550.029,mirror,1
1550.029,mirror,1
1550.029,mirror,1
1566.442,middle,1
1566.442,middle,1
1566.967,mirror,1
1566.967,mirror,1
1566.967,mirror,1
1665.571,middle,1
1665.571,middle,1
1667.346,mirror,1
1667.346,mirror,1
1667.346,mirror,1
1975.54,END,0
