time,code,class
381.446,far_object,1
382.795,far_object_wall,1
416.517,far_object,1
428.596,far_object_wall,1
439.521,far_object,1
447.446,object,1
451.392,object_wall,1
463.871,object,1
478.495,object_wall,1
488.046,object,1
491.546,object_wall,1
498.495,far_object_wall,1
501.446,far_object,1
507.293,far_object_wall,1
508.621,object_wall,1
523.646,object,1
545.918,object_wall,1
567.767,object,1
576.194,object_wall,1
597.693,far_object_wall,1
615.371,object_wall,1
648.006,far_object_wall,1
678.352,object_wall,1
695.456,object,1
713.181,object_wall,1
722.756,far_object_wall,1
729.127,far_object,1
739.456,far_object_wall,1
765.382,far_object,1
770.657,far_object_wall,1
782.553,far_object,1
785.287,far_object_wall,1
786.822,object_wall,1
812.506,far_object_wall,1
839.037,far_object,1
846.717,far_object_wall,1
852.892,object_wall,1
871.464,object,1
873.567,object_wall,1
910.787,object,1
912.641,far_object,1
923.767,far_object_wall,1
937.767,object_wall,1
946.514,object,1
947.292,object_wall,1
953.938,far_object_wall,1
954.717,far_object,1
957.639,far_object_wall,1
1002.463,far_object,1
1033.952,object,1
1055.756,END,0
