time,code,class
377.532,far_object,1
378.497,object,1
378.753,far_object,1
378.753,far_object_wall,1
470.19,object_wall,1
470.969,object,1
518.119,object_wall,1
524.993,object,1
555.074,object_wall,1
565.175,object,1
591.052,far_object,1
607.455,object,1
624.322,object_wall,1
651.82,object,1
653.692,far_object,1
713.612,object,1
715.984,object_wall,1
717.587,object,1
718.887,object_wall,1
750.312,far_object_wall,1
754.812,far_object,1
773.608,object,1
796.729,object_wall,1
818.768,object,1
819.02,far_object,1
827.392,far_object_wall,1
855.726,object_wall,1
888.568,object,1
891.765,object_wall,1
894.893,object,1
897.292,far_object,1
898.093,far_object_wall,1
899.965,far_object,1
903.668,far_object_wall,1
929.748,object,1
976.174,object_wall,1
983.025,object,1
987.229,object_wall,1
1008.504,far_object_wall,1
1009.278,far_object,1
1010.602,far_object_wall,1
1024.629,END,0
