time,code,class
300.146,far_object,1
311.626,far_object_wall,1
313.662,object_wall,1
330.574,far_object_wall,1
332.347,far_object,1
336.446,object,1
347.691,object_wall,1
351.267,object,1
352.296,object_wall,1
357.432,object,1
358.44,object_wall,1
361.772,far_object_wall,1
362.541,far_object,1
366.117,far_object_wall,1
380.963,object_wall,1
381.997,object,1
392.439,far_object,1
394.166,far_object_wall,1
398.946,object_wall,1
401.248,object,1
401.506,object_wall,1
404.316,object,1
407.386,object_wall,1
410.192,object,1
412.496,far_object,1
414.561,far_object_wall,1
424.442,far_object,1
428.809,far_object_wall,1
433.148,far_object,1
436.749,far_object_wall,1
448.262,object_wall,1
449.794,object,1
452.602,object_wall,1
455.165,far_object_wall,1
468.014,far_object,1
474.485,object,1
475.255,object_wall,1
479.093,object,1
479.86,object_wall,1
496.741,far_object_wall,1
497.273,far_object,1
499.311,far_object_wall,1
503.654,object_wall,1
511.857,object,1
513.39,object_wall,1
519.798,object,1
530.809,object_wall,1
535.147,object,1
547.895,object_wall,1
555.07,object,1
556.167,object_wall,1
557.2,far_object_wall,1
558.236,object_wall,1
564.112,far_object_wall,1
577.891,far_object,1
578.896,object,1
579.923,object_wall,1
581.729,object,1
582.997,object_wall,1
585.295,object,1
585.827,object_wall,1
601.443,object,1
608.084,object_wall,1
617.563,object,1
621.668,object_wall,1
625.237,far_object_wall,1
632.146,object_wall,1
643.154,far_object_wall,1
652.368,object_wall,1
664.676,far_object_wall,1
681.726,object,1
686.862,object_wall,1
700.942,far_object_wall,1
709.223,far_object,1
715.319,far_object_wall,1
718.633,object_wall,1
737.849,far_object_wall,1
744.489,object_wall,1
750.393,far_object_wall,1
756.773,object_wall,1
766.777,far_object_wall,1
791.334,object_wall,1
798.009,far_object_wall,1
815.397,far_object,1
822.836,far_object_wall,1
829.241,object_wall,1
834.084,object,1
837.176,object_wall,1
838.712,far_object_wall,1
870.184,object_wall,1
872.752,object,1
883.498,object_wall,1
884.792,far_object_wall,1
890.937,far_object,1
893.239,object_wall,1
900.914,object,1
903.214,object_wall,1
909.861,far_object_wall,1
920.366,far_object,1
925.737,far_object_wall,1
939.317,object_wall,1
945.459,far_object_wall,1
964.912,END,0
