time,code,class
311.492,far_object,1
328.232,far_object_wall,1
353.075,object_wall,1
353.885,object,1
367.92,far_object,1
381.694,object_wall,1
384.125,far_object_wall,1
384.935,object_wall,1
388.711,object,1
402.217,object_wall,1
407.075,far_object_wall,1
417.336,far_object,1
433.266,far_object_wall,1
450.099,object_wall,1
475.481,far_object_wall,1
507.34,object_wall,1
523.276,object,1
524.893,object_wall,1
532.457,object,1
541.639,far_object,1
543.53,far_object_wall,1
572.418,object_wall,1
582.412,far_object_wall,1
605.095,object_wall,1
607.255,far_object_wall,1
641.542,object_wall,1
645.326,far_object_wall,1
667.467,object_wall,1
700.68,far_object_wall,1
714.632,object_wall,1
727.858,object,1
732.993,object_wall,1
773.945,far_object_wall,1
782.69,far_object,1
782.939,object,1
819.311,object_wall,1
830.918,object,1
837.039,object_wall,1
847.3,far_object_wall,1
860.266,object_wall,1
879.44,object,1
909.41,object_wall,1
913.459,object,1
923.183,object_wall,1
923.991,far_object_wall,1
926.692,far_object,1
937.492,far_object_wall,1
946.756,far_object,1
969.54,object,1
970.077,object_wall,1
977.636,far_object_wall,1
978.716,far_object,1
981.956,far_object_wall,1
983.036,far_object,1
987.9,far_object_wall,1
990.598,object_wall,1
1059.547,END,0
