time,code,class
315.554,far_object,1
316.062,far_object_wall,1
384.868,far_object,1
390.768,object,1
393.839,object_wall,1
402.02,far_object_wall,1
405.88,far_object,1
407.154,far_object_wall,1
423.8,object_wall,1
435.576,object,1
435.815,object_wall,1
442.724,far_object_wall,1
466.281,object_wall,1
466.808,object,1
472.952,object_wall,1
510.222,far_object_wall,1
536.583,object_wall,1
583.927,object,1
584.166,object_wall,1
587,object,1
589.8,far_object,1
593.905,far_object_wall,1
624.87,object_wall,1
652.792,far_object_wall,1
672.249,object_wall,1
678.629,far_object_wall,1
711.415,object_wall,1
729.94,far_object_wall,1
740.952,object_wall,1
762.976,far_object_wall,1
781.396,far_object,1
791.639,far_object_wall,1
827.475,object_wall,1
849.998,far_object_wall,1
863.843,object_wall,1
879.693,far_object_wall,1
899.679,object_wall,1
902.138,object,1
905.682,object_wall,1
945.223,object,1
953.165,object_wall,1
959.565,far_object_wall,1
967.245,object_wall,1
985.131,far_object_wall,1
1006.117,object_wall,1
1017.656,END,0
