time,code,class
258.277,far_object,1
280.293,object,1
313.062,object_wall,1
323.832,far_object_wall,1
329.707,object_wall,1
347.895,far_object_wall,1
374.585,object_wall,1
375.854,object,1
382.263,object_wall,1
385.834,far_object_wall,1
388.402,far_object,1
392.742,far_object_wall,1
401.188,object,1
407.088,object_wall,1
415.796,object,1
416.297,object_wall,1
420.135,object,1
425.509,object_wall,1
434.808,object,1
435.817,far_object,1
439.654,far_object_wall,1
445.559,object_wall,1
459.836,object,1
461.132,far_object,1
465.479,far_object_wall,1
486.736,object,1
492.374,object_wall,1
504.148,far_object,1
509.518,far_object_wall,1
525.638,far_object,1
530.241,far_object_wall,1
557.771,object_wall,1
581.825,object,1
583.629,object_wall,1
588.736,object,1
591.038,object_wall,1
591.806,far_object_wall,1
610.192,object_wall,1
632.738,far_object,1
636.818,far_object_wall,1
649.63,object_wall,1
651.164,object,1
657.04,object_wall,1
660.112,far_object_wall,1
662.943,far_object,1
663.711,far_object_wall,1
685.462,object_wall,1
705.184,far_object_wall,1
718.496,object_wall,1
722.066,object,1
727.708,object_wall,1
732.579,far_object,1
736.146,far_object_wall,1
744.592,far_object,1
750.227,object,1
767.906,object_wall,1
773.018,far_object_wall,1
774.288,far_object,1
777.89,far_object_wall,1
779.425,object_wall,1
780.431,object,1
790.672,object_wall,1
803.985,far_object_wall,1
810.657,object_wall,1
811.663,object,1
817.059,object_wall,1
827.038,far_object_wall,1
835.748,object_wall,1
837.52,object,1
839.055,object_wall,1
845.987,far_object_wall,1
854.932,object_wall,1
879.759,object,1
881.296,object_wall,1
883.862,far_object_wall,1
893.072,far_object,1
896.144,far_object_wall,1
909.722,object_wall,1
933.014,object,1
936.851,object_wall,1
937.378,END,0
