time,code,class
268.383,far_object,1
268.926,far_object_wall,1
269.466,object_wall,1
451.093,far_object,1
499.425,far_object,1
534.617,far_object_wall,1
560.807,far_object,1
562.43,object,1
568.912,far_object_wall,1
573.502,far_object,1
575.662,far_object_wall,1
647.037,object_wall,1
647.578,object,1
664.319,far_object_wall,1
677.279,object_wall,1
679.979,object,1
690.51,object_wall,1
697.797,object,1
698.341,object_wall,1
706.445,object,1
709.682,object_wall,1
728.038,far_object_wall,1
731.823,object_wall,1
810.126,far_object_wall,1
838.924,object_wall,1
850.807,far_object_wall,1
994.628,far_object,1
1005.879,far_object_wall,1
1006.601,far_object,1
1007.499,object,1
1037.831,END,0
