time,code,class
426.276,far_object,1
447.027,far_object_wall,1
469.285,far_object,1
470.053,object,1
503.448,object_wall,1
513.187,object,1
539.023,object_wall,1
558.74,object,1
562.075,object_wall,1
571.552,object,1
573.046,far_object,1
582.529,far_object_wall,1
594.574,far_object,1
595.84,object,1
605.849,object_wall,1
614.56,far_object_wall,1
615.329,far_object,1
620.195,far_object_wall,1
675.221,far_object,1
681.891,far_object_wall,1
721.302,far_object,1
722.336,object,1
723.1,object_wall,1
727.204,far_object_wall,1
728.976,far_object,1
729.508,far_object_wall,1
739.22,far_object,1
739.984,object,1
748.431,object_wall,1
810.914,far_object_wall,1
834.212,object_wall,1
836.75,object,1
847.26,object_wall,1
886.865,object,1
901.215,object_wall,1
912.725,object,1
914.257,far_object,1
924.768,far_object_wall,1
929.877,object_wall,1
1029.943,far_object_wall,1
1085.498,object_wall,1
1099.046,END,0
