time,code,class
433.317,far_object,1
435.639,far_object_wall,1
483.929,far_object,1
502.883,far_object_wall,1
513.123,far_object,1
514.896,far_object_wall,1
520.03,far_object,1
521.807,object,1
535.418,far_object,1
535.946,far_object_wall,1
539.787,far_object,1
546.19,far_object_wall,1
558.734,far_object,1
563.579,object,1
564.609,object_wall,1
593.806,object,1
602.25,object_wall,1
613.497,object,1
614.524,object_wall,1
626.81,object,1
627.596,far_object,1
633.214,far_object_wall,1
673.658,object_wall,1
680.061,object,1
680.827,object_wall,1
691.072,object,1
699.476,far_object,1
702.816,far_object_wall,1
705.619,far_object,1
706.915,far_object_wall,1
719.934,object_wall,1
730.945,far_object_wall,1
756.033,object_wall,1
762.172,object,1
767.548,object_wall,1
785.231,far_object_wall,1
794.702,object_wall,1
823.629,far_object_wall,1
824.904,far_object,1
829.774,far_object_wall,1
839.245,object_wall,1
840.782,object,1
857.67,object_wall,1
868.173,far_object_wall,1
880.698,object_wall,1
882.008,object,1
883.131,object_wall,1
920.804,far_object_wall,1
945.123,object_wall,1
976.889,far_object_wall,1
992.143,object,1
994.207,object_wall,1
1018,far_object_wall,1
1046.158,object,1
1055.365,object_wall,1
1098.11,END,0
