time,code,class
447.764,far_object,1
468.016,far_object_wall,1
489.62,far_object,1
494.476,object,1
506.357,object_wall,1
511.761,far_object_wall,1
513.107,far_object,1
515.811,far_object_wall,1
549.024,object_wall,1
550.912,object,1
557.124,object_wall,1
576.022,far_object_wall,1
586.916,object_wall,1
605.548,object,1
606.085,far_object,1
612.294,far_object_wall,1
627.689,object_wall,1
635.786,far_object_wall,1
654.96,object_wall,1
671.971,far_object_wall,1
681.687,far_object,1
684.117,far_object_wall,1
709.502,object_wall,1
719.494,far_object_wall,1
728.134,object_wall,1
734.611,object,1
734.885,object_wall,1
765.482,far_object_wall,1
773.312,object_wall,1
802.474,far_object_wall,1
825.429,object_wall,1
830.2,object,1
831.01,object_wall,1
926.595,far_object_wall,1
941.172,object_wall,1
955.215,object,1
957.016,far_object,1
966.194,far_object_wall,1
1000.489,far_object,1
1000.758,far_object_wall,1
1010.474,far_object,1
1011.829,object,1
1035.591,object_wall,1
1036.937,object,1
1038.017,object_wall,1
1041.258,far_object_wall,1
1050.258,far_object,1
1057.281,object,1
1090.222,object_wall,1
1094.545,far_object_wall,1
1104.532,object_wall,1
1105.075,object,1
1144.856,object_wall,1
1148.905,far_object_wall,1
1151.877,far_object,1
1152.956,object,1
1168.89,object_wall,1
1171.32,END,0
