time,code,class
308.022,far_object,1
312.12,object,1
380.495,object_wall,1
390.67,object,1
400.412,far_object,1
404.516,far_object_wall,1
407.824,object_wall,1
412.69,object,1
415.728,far_object,1
419.065,far_object_wall,1
440.985,far_object,1
444.559,object,1
444.822,object_wall,1
446.626,far_object_wall,1
471.186,object_wall,1
475.024,object,1
482.197,object_wall,1
491.171,object,1
491.938,object_wall,1
498.575,far_object_wall,1
502.417,far_object,1
505.251,object,1
510.095,object_wall,1
516.259,far_object_wall,1
532.379,object_wall,1
544.659,object,1
548.497,object_wall,1
553.499,far_object_wall,1
560.93,far_object,1
562.701,object,1
563.21,object_wall,1
576.781,far_object_wall,1
593.674,object_wall,1
616.462,object,1
617.661,far_object,1
620.493,far_object_wall,1
626.873,object_wall,1
636.083,far_object_wall,1
653.735,object_wall,1
661.412,far_object_wall,1
667.815,object_wall,1
675.511,far_object_wall,1
691.896,object_wall,1
699.577,far_object_wall,1
710.324,object_wall,1
719.032,far_object_wall,1
734.377,object_wall,1
743.353,far_object_wall,1
752.823,object_wall,1
762.041,far_object_wall,1
766.117,object_wall,1
839.753,object,1
840.013,object_wall,1
886.334,object,1
890.434,object_wall,1
892.736,object,1
917.565,object_wall,1
919.363,object,1
921.165,object_wall,1
924.709,object_wall,1
935.717,far_object_wall,1
942.886,object_wall,1
949.025,far_object_wall,1
953.828,far_object,1
954.225,far_object_wall,1
970.615,END,0
