time,code,class
325.534,far_object,1
328.509,far_object_wall,1
329.317,object_wall,1
334.446,object,1
337.419,object_wall,1
357.131,object,1
359.111,far_object,1
361.811,object,1
373.689,object_wall,1
379.091,object,1
386.651,far_object,1
395.29,object,1
396.915,object_wall,1
404.476,object,1
407.713,object_wall,1
412.302,far_object_wall,1
436.607,far_object,1
438.222,object,1
443.357,object_wall,1
447.405,far_object_wall,1
450.377,far_object,1
456.585,object,1
462.259,object_wall,1
470.359,far_object_wall,1
473.868,far_object,1
479.267,far_object_wall,1
480.619,object_wall,1
484.396,object,1
487.367,object_wall,1
492.5,far_object_wall,1
508.432,object_wall,1
513.564,object,1
515.99,object_wall,1
521.937,far_object_wall,1
537.058,object_wall,1
545.431,object,1
552.178,far_object,1
560.282,far_object_wall,1
577.564,object_wall,1
583.772,far_object_wall,1
601.051,object_wall,1
610.501,far_object_wall,1
621.571,object_wall,1
632.642,far_object_wall,1
652.625,object_wall,1
665.86,far_object_wall,1
674.229,object_wall,1
685.57,far_object_wall,1
706.9,object_wall,1
717.436,far_object_wall,1
771.258,object_wall,1
772.877,object,1
780.978,object_wall,1
790.702,far_object_wall,1
795.831,far_object,1
800.419,far_object_wall,1
810.683,object_wall,1
815.543,far_object_wall,1
829.581,far_object,1
844.344,far_object_wall,1
864.864,object_wall,1
871.344,object,1
885.384,far_object,1
893.754,far_object_wall,1
902.665,object_wall,1
905.093,object,1
908.065,object_wall,1
911.574,far_object_wall,1
924.808,far_object,1
925.885,far_object_wall,1
942.087,far_object,1
948.298,far_object_wall,1
968.818,object_wall,1
969.087,object,1
990.96,object_wall,1
1015.799,END,0
