time,code,class
344.29,center_white,1
345.829,wall_white,1
384.495,wall_black,1
402.917,center_black,1
419.297,wall_black,1
432.879,wall_white,1
440.312,center_white,1
442.356,center_black,1
451.831,wall_black,1
478.955,wall_white,1
484.837,center_white,1
498.679,center_black,1
507.788,wall_black,1
517.761,center_black,1
522.366,wall_black,1
534.413,center_black,1
540.185,wall_black,1
541.723,wall_white,1
544.02,center_black,1
564.713,wall_black,1
589.301,wall_white,1
590.838,center_white,1
596.207,wall_white,1
599.545,center_white,1
605.418,center_black,1
611.824,wall_black,1
624.87,center_black,1
627.44,wall_black,1
629.241,center_black,1
649.959,wall_black,1
666.345,center_black,1
667.11,wall_black,1
674.285,center_white,1
676.321,center_black,1
689.634,wall_black,1
735.178,wall_white,1
737.213,center_white,1
738.509,center_black,1
748.993,wall_black,1
775.356,center_black,1
776.654,wall_black,1
796.873,center_white,1
799.677,center_black,1
818.124,wall_black,1
835.512,center_black,1
853.697,wall_black,1
872.123,center_black,1
872.89,wall_black,1
885.929,center_black,1
890.534,wall_black,1
892.599,wall_white,1
893.873,center_white,1
894.373,wall_white,1
898.981,center_white,1
900.279,wall_white,1
907.688,wall_black,1
938.418,center_black,1
946.359,wall_black,1
999.88,END,0
