time,code,class
283.198,center_black,1
296.511,center_white,1
306.489,center_black,1
326.97,center_white,1
332.11,wall_white,1
338.751,center_white,1
349.259,wall_white,1
359.502,center_white,1
372.813,center_black,1
377.422,wall_black,1
538.486,center_black,1
539.512,wall_black,1
543.353,center_black,1
545.657,center_white,1
558.673,wall_white,1
565.075,center_white,1
571.481,wall_white,1
572.253,center_white,1
576.355,wall_white,1
577.554,wall_black,1
591.864,center_black,1
593.138,center_white,1
593.907,wall_white,1
596.208,center_white,1
600.549,wall_white,1
603.883,center_white,1
604.647,wall_white,1
607.48,wall_black,1
624.872,center_black,1
628.975,center_white,1
629.739,wall_white,1
637.944,wall_black,1
643.557,center_black,1
645.858,center_white,1
648.428,center_black,1
650.23,center_white,1
652.792,center_black,1
655.602,center_white,1
659.939,wall_white,1
660.708,center_white,1
663.543,center_black,1
671.48,wall_black,1
677.354,center_black,1
678.391,center_white,1
678.889,center_black,1
681.7,center_white,1
682.488,wall_white,1
689.036,wall_black,1
696.206,wall_white,1
698.51,wall_black,1
701.311,wall_white,1
710.286,wall_black,1
713.595,center_black,1
855.033,wall_black,1
858.34,center_black,1
922.639,center_white,1
950.164,END,0
