time,code,class
233.382,center_black,1
250.533,wall_black,1
267.247,center_black,1
271.082,wall_black,1
280.559,center_black,1
283.627,wall_black,1
293.107,center_black,1
293.606,wall_black,1
300.779,center_black,1
302.317,wall_black,1
303.847,center_black,1
305.653,center_white,1
308.456,center_black,1
309.223,wall_black,1
316.393,center_black,1
334.839,wall_black,1
340.139,center_black,1
340.813,center_white,1
343.621,wall_white,1
355.137,wall_black,1
362.977,center_black,1
364.51,wall_black,1
366.047,center_black,1
368.848,center_white,1
371.416,wall_white,1
388.304,center_white,1
389.84,wall_white,1
397.578,center_white,1
400.909,wall_white,1
407.053,wall_black,1
409.088,center_black,1
413.125,wall_black,1
415.261,center_black,1
415.53,center_white,1
419.632,wall_white,1
427.175,wall_black,1
436.915,center_black,1
438.954,center_white,1
439.718,wall_white,1
440.754,wall_black,1
443.822,center_black,1
444.589,wall_black,1
450.229,wall_white,1
457.557,center_white,1
459.768,center_black,1
464.377,wall_black,1
467.685,wall_white,1
473.848,wall_black,1
483.261,center_black,1
488.403,center_white,1
489.436,wall_white,1
496.301,wall_black,1
508.285,center_black,1
512.389,center_white,1
512.652,wall_white,1
536.313,center_black,1
539.619,wall_black,1
547.828,center_black,1
550.63,wall_black,1
557.801,wall_white,1
562.936,wall_black,1
578.026,center_black,1
583.398,wall_black,1
871.055,END,0
