time,code,class
236.344,center_black,1
242.219,center_white,1
244.261,wall_white,1
247.094,center_white,1
253.497,wall_white,1
259.11,center_white,1
260.137,center_black,1
266.808,wall_black,1
276.02,center_black,1
280.888,wall_black,1
284.966,center_black,1
287.27,wall_black,1
290.6,wall_white,1
304.418,wall_black,1
313.393,center_black,1
319.032,wall_black,1
321.832,center_black,1
333.349,wall_black,1
336.419,center_black,1
338.486,wall_black,1
343.288,wall_black,1
347.661,wall_white,1
349.433,center_white,1
351.757,center_black,1
356.102,wall_black,1
376.156,center_black,1
383.827,wall_black,1
393.809,center_black,1
397.648,wall_black,1
410.454,center_white,1
412.729,wall_white,1
418.125,wall_black,1
446.026,center_black,1
450.36,wall_black,1
452.164,center_black,1
453.434,wall_black,1
456.766,center_black,1
458.572,center_white,1
459.837,wall_white,1
466.71,wall_black,1
494.872,center_black,1
499.982,wall_black,1
528.105,center_black,1
529.644,wall_black,1
551.927,center_black,1
560.108,wall_black,1
582.894,center_black,1
589.302,wall_black,1
596.711,center_black,1
600.043,wall_black,1
608.153,center_black,1
611.725,wall_black,1
637.818,center_black,1
638.587,wall_black,1
652.801,wall_white,1
654.331,wall_black,1
668.749,center_black,1
674.654,wall_black,1
686.401,center_black,1
692.54,wall_black,1
719.867,center_black,1
720.399,wall_black,1
725.505,wall_white,1
727.307,center_white,1
729.101,center_black,1
730.637,wall_black,1
833.785,center_black,1
845.055,wall_black,1
849.929,center_black,1
854.533,wall_black,1
874.253,END,0
