time,code,class
292.737,center_white,1
296.314,wall_white,1
311.162,center_white,1
315.53,center_black,1
318.862,wall_black,1
321.665,center_black,1
323.201,wall_black,1
330.879,center_black,1
333.948,wall_black,1
339.619,center_black,1
343.187,wall_black,1
354.201,center_black,1
355.471,wall_black,1
356.501,wall_white,1
363.142,center_white,1
364.174,center_black,1
367.744,wall_black,1
369.28,center_black,1
371.582,wall_black,1
374.154,center_black,1
375.687,wall_black,1
376.457,center_black,1
378.493,wall_white,1
400.503,wall_black,1
405.352,center_black,1
406.387,center_white,1
407.151,wall_white,1
415.86,wall_black,1
421.736,wall_white,1
426.603,wall_black,1
429.175,wall_white,1
497.272,center_white,1
498.545,wall_white,1
502.549,wall_black,1
507.683,center_black,1
509.219,center_white,1
509.457,wall_white,1
517.565,wall_black,1
519.1,center_black,1
520.131,center_white,1
521.403,wall_white,1
529.869,wall_black,1
531.646,wall_white,1
542.657,center_white,1
544.192,wall_white,1
545.091,wall_black,1
546.224,wall_white,1
549.594,center_white,1
550.761,wall_white,1
552.298,wall_black,1
559.469,center_black,1
559.737,wall_black,1
561.51,wall_white,1
566.814,wall_black,1
581.155,center_black,1
584.227,wall_black,1
585.23,center_black,1
585.498,center_white,1
586.531,wall_white,1
951.129,END,0
