time,code,class
67.167,n_a,1
78.684,lateral_swimming,1
82.015,surface_breathing,1
89.556,lateral_swimming,1
93.394,n_a,1
97.497,lateral_swimming,1
99.032,gill_covered_display,1
124.122,lateral_swimming,1
127.195,gill_covered_display,1
131.532,lateral_swimming,1
134.601,tail_beat,1
137.672,gill_covered_display,1
145.679,lateral_swimming,1
161.561,gill_covered_display,1
167.174,lateral_swimming,1
175.643,gill_covered_display,1
184.347,lateral_swimming,1
189.457,gill_covered_display,1
193.03,n_a,1
197.638,gill_covered_display,1
199.433,lateral_swimming,1
210.477,gill_covered_display,1
211.482,lateral_swimming,1
220.186,ramming_biting,1
221.222,n_a,1
221.989,gill_covered_display,1
227.099,lateral_swimming,1
228.129,n_a,1
230.192,lateral_swimming,1
231.728,gill_covered_display,1
232.733,n_a,1
248.348,gill_covered_display,1
249.648,lateral_swimming,1
250.416,n_a,1
252.956,gill_covered_display,1
254.49,lateral_swimming,1
259.994,n_a,1
264.07,lateral_swimming,1
267.402,n_a,1
284.549,lateral_swimming,1
285.318,gill_covered_display,1
286.085,lateral_swimming,1
293.232,n_a,1
300.233,gill_covered_display,1
303.303,lateral_swimming,1
312.517,n_a,1
325.325,lateral_swimming,1
331.466,n_a,1
332.763,lateral_swimming,1
334.298,n_a,1
337.37,lateral_swimming,1
339.407,surface_breathing,1
340.44,lateral_swimming,1
345.115,n_a,1
356.655,lateral_swimming,1
357.925,n_a,1
358.691,lateral_swimming,1
363.034,n_a,1
363.803,lateral_swimming,1
367.4,n_a,1
369.703,surface_breathing,1
371.503,n_a,1
372.239,lateral_swimming,1
378.646,gill_covered_display,1
381.449,n_a,1
383.514,gill_covered_display,1
384.519,n_a,1
392.726,surface_breathing,1
393.995,lateral_swimming,1
399.367,n_a,1
410.31,lateral_swimming,1
412.08,n_a,1
419.014,lateral_swimming,1
421.555,n_a,1
424.125,lateral_swimming,1
425.157,n_a,1
425.926,lateral_swimming,1
428.73,surface_breathing,1
429.763,n_a,1
444.345,gill_covered_display,1
446.146,lateral_swimming,1
448.181,n_a,1
455.857,surface_breathing,1
456.891,n_a,1
457.658,lateral_swimming,1
459.96,n_a,1
468.67,lateral_swimming,1
477.845,n_a,1
486.981,lateral_swimming,1
487.989,n_a,1
490.053,lateral_swimming,1
510.711,n_a,1
533.166,lateral_swimming,1
533.934,gill_covered_display,1
535.468,lateral_swimming,1
537.771,n_a,1
540.573,lateral_swimming,1
542.875,gill_covered_display,1
545.446,lateral_swimming,1
548.187,n_a,1
549.215,lateral_swimming,1
552.286,n_a,1
557.658,lateral_swimming,1
560.995,n_a,1
575.578,gill_covered_display,1
578.411,lateral_swimming,1
583.016,n_a,1
584.55,surface_breathing,1
586.085,n_a,1
617.818,gill_covered_display,1
619.118,lateral_swimming,1
620.387,n_a,1
657.992,gill_covered_display,1
660.059,lateral_swimming,1
666.438,gill_covered_display,1
674.139,n_a,1
678.746,lateral_swimming,1
700.233,n_a,1
706.374,lateral_swimming,1
710.744,n_a,1
722.523,surface_breathing,1
724.057,n_a,1
734.034,END,0
