time,code,class
25.425,n_a,1
33.367,gill_covered_display,1
48.183,lateral_swimming,1
53.822,gill_covered_display,1
66.368,lateral_swimming,1
68.669,gill_covered_display,1
81.215,lateral_swimming,1
82.75,gill_covered_display,1
94.001,lateral_swimming,1
95.03,tail_beat,1
98.098,gill_covered_display,1
104.239,lateral_swimming,1
105.272,gill_covered_display,1
128.829,lateral_swimming,1
130.865,tail_beat,1
132.4,gill_covered_display,1
140.101,lateral_swimming,1
141.638,gill_covered_display,1
144.709,tail_beat,1
145.98,n_a,1
146.747,gill_covered_display,1
151.352,tail_beat,1
153.921,gill_covered_display,1
156.725,lateral_swimming,1
160.326,gill_covered_display,1
172.606,tail_beat,1
174.908,gill_covered_display,1
183.856,tail_beat,1
185.654,gill_covered_display,1
191.558,lateral_swimming,1
197.431,gill_covered_display,1
215.616,n_a,1
217.413,gill_covered_display,1
233.268,n_a,1
235.069,gill_covered_display,1
239.941,lateral_swimming,1
241.976,tail_beat,1
246.341,gill_covered_display,1
248.645,lateral_swimming,1
250.182,tail_beat,1
256.825,surface_breathing,1
257.592,gill_covered_display,1
264.499,lateral_swimming,1
268.869,tail_beat,1
272.707,gill_covered_display,1
289.089,lateral_swimming,1
290.097,gill_covered_display,1
294.962,tail_beat,1
297.029,gill_covered_display,1
321.089,lateral_swimming,1
322.357,gill_covered_display,1
330.298,lateral_swimming,1
334.135,tail_beat,1
335.429,n_a,1
336.966,gill_covered_display,1
342.844,tail_beat,1
346.681,gill_covered_display,1
351.286,tail_beat,1
352.82,gill_covered_display,1
356.924,tail_beat,1
358.96,n_a,1
359.994,gill_covered_display,1
365.125,tail_beat,1
366.901,n_a,1
368.436,gill_covered_display,1
383.046,tail_beat,1
384.051,n_a,1
384.818,gill_covered_display,1
390.457,tail_beat,1
391.992,gill_covered_display,1
397.893,lateral_swimming,1
399.934,gill_covered_display,1
400.966,ramming_biting,1
402.501,lateral_swimming,1
406.073,gill_covered_display,1
410.177,tail_beat,1
411.712,n_a,1
420.42,gill_covered_display,1
421.188,ramming_biting,1
423.49,lateral_swimming,1
426.821,gill_covered_display,1
430.899,tail_beat,1
432.198,n_a,1
436.804,gill_covered_display,1
454.96,tail_beat,1
460.357,gill_covered_display,1
466.736,tail_beat,1
468.802,n_a,1
470.837,gill_covered_display,1
474.437,tail_beat,1
475.442,gill_covered_display,1
485.185,lateral_swimming,1
487.487,tail_beat,1
489.791,gill_covered_display,1
497.731,lateral_swimming,1
498.736,tail_beat,1
501.83,gill_covered_display,1
508.741,tail_beat,1
509.745,n_a,1
517.445,lateral_swimming,1
519.219,ramming_biting,1
521.285,gill_covered_display,1
530.999,tail_beat,1
533.829,n_a,1
539.205,gill_covered_display,1
548.143,tail_beat,1
550.183,surface_breathing,1
551.451,n_a,1
555.555,gill_covered_display,1
561.962,tail_beat,1
563.496,n_a,1
572.705,gill_covered_display,1
573.74,ramming_biting,1
575.515,gill_covered_display,1
580.143,tail_beat,1
585.754,gill_covered_display,1
590.89,tail_beat,1
593.192,surface_breathing,1
593.96,n_a,1
598.564,gill_covered_display,1
599.834,ramming_biting,1
605.472,lateral_swimming,1
610.608,gill_covered_display,1
615.214,lateral_swimming,1
616.219,tail_beat,1
618.017,n_a,1
621.616,gill_covered_display,1
629.295,lateral_swimming,1
645.914,gill_covered_display,1
671.772,n_a,1
672.538,gill_covered_display,1
681.149,END,0
