time,code,class
25.691,n_a,1
31.064,gill_covered_display,1
32.837,lateral_swimming,1
37.971,n_a,1
94.533,lateral_swimming,1
97.364,n_a,1
119.888,gill_covered_display,1
120.922,lateral_swimming,1
122.956,n_a,1
144.744,gill_covered_display,1
146.78,n_a,1
165.484,gill_covered_display,1
168.053,lateral_swimming,1
169.588,n_a,1
209.262,lateral_swimming,1
211.327,n_a,1
222.575,gill_covered_display,1
224.109,n_a,1
232.554,lateral_swimming,1
234.86,n_a,1
247.933,lateral_swimming,1
256.376,tail_beat,1
259.711,n_a,1
263.549,lateral_swimming,1
285.037,tail_beat,1
286.838,n_a,1
291.443,gill_covered_display,1
297.582,n_a,1
303.722,tail_beat,1
305.524,n_a,1
322.941,lateral_swimming,1
346.479,n_a,1
349.019,lateral_swimming,1
355.689,n_a,1
361.827,lateral_swimming,1
367.467,gill_covered_display,1
373.34,lateral_swimming,1
398.191,tail_beat,1
404.336,n_a,1
410.209,lateral_swimming,1
424.291,n_a,1
426.331,lateral_swimming,1
450.149,gill_covered_display,1
454.491,lateral_swimming,1
457.823,surface_breathing,1
462.428,tail_beat,1
466.031,gill_covered_display,1
473.706,n_a,1
479.343,lateral_swimming,1
489.321,n_a,1
491.625,lateral_swimming,1
498.266,n_a,1
500.066,lateral_swimming,1
502.369,n_a,1
506.205,ramming_biting,1
509.039,n_a,1
512.111,lateral_swimming,1
521.053,n_a,1
522.855,lateral_swimming,1
526.959,tail_beat,1
527.962,n_a,1
540.006,lateral_swimming,1
546.146,tail_beat,1
547.418,lateral_swimming,1
555.622,n_a,1
560.492,gill_covered_display,1
562.028,n_a,1
563.036,lateral_swimming,1
564.063,n_a,1
571.237,gill_covered_display,1
573.806,lateral_swimming,1
576.347,n_a,1
595.824,lateral_swimming,1
600.934,gill_covered_display,1
606.573,lateral_swimming,1
612.975,n_a,1
626.525,lateral_swimming,1
654.186,tail_beat,1
656.489,n_a,1
660.06,lateral_swimming,1
662.127,tail_beat,1
665.698,n_a,1
675.674,lateral_swimming,1
680.195,END,0
