time,code,class
30.598,n_a,1
82.822,lateral_swimming,1
89.224,gill_covered_display,1
102.938,lateral_swimming,1
122.656,surface_breathing,1
125.992,lateral_swimming,1
130.096,ramming_biting,1
137.242,n_a,1
151.851,lateral_swimming,1
167.201,n_a,1
175.141,lateral_swimming,1
194.33,ramming_biting,1
197.932,lateral_swimming,1
203.803,n_a,1
209.009,lateral_swimming,1
215.684,n_a,1
232.305,surface_breathing,1
235.135,lateral_swimming,1
238.469,n_a,1
315.013,lateral_swimming,1
371.072,n_a,1
444.444,lateral_swimming,1
481.05,n_a,1
490.288,lateral_swimming,1
507.173,n_a,1
615.982,surface_breathing,1
621.616,n_a,1
646.278,lateral_swimming,1
664.431,surface_breathing,1
665.968,n_a,1
680.246,END,0
