time,code,class
27.1,n_a,1
34.799,lateral_swimming,1
35.567,gill_covered_display,1
43.744,lateral_swimming,1
45.808,ramming_biting,1
46.575,gill_covered_display,1
52.72,lateral_swimming,1
54.492,n_a,1
57.058,gill_covered_display,1
58.331,lateral_swimming,1
60.127,n_a,1
63.196,gill_covered_display,1
64.231,lateral_swimming,1
64.999,n_a,1
68.836,gill_covered_display,1
70.37,n_a,1
74.715,ramming_biting,1
75.503,n_a,1
90.352,lateral_swimming,1
92.392,n_a,1
105.968,lateral_swimming,1
107.593,n_a,1
114.648,ramming_biting,1
117.451,n_a,1
139.503,lateral_swimming,1
144.111,n_a,1
157.457,lateral_swimming,1
161.563,gill_covered_display,1
163.097,n_a,1
174.609,lateral_swimming,1
178.445,n_a,1
182.79,lateral_swimming,1
185.619,n_a,1
192.527,gill_covered_display,1
196.364,lateral_swimming,1
197.638,n_a,1
200.467,lateral_swimming,1
203.035,gill_covered_display,1
204.305,lateral_swimming,1
211.478,n_a,1
225.799,tail_beat,1
230.931,lateral_swimming,1
232.466,n_a,1
236.037,lateral_swimming,1
237.84,n_a,1
242.182,lateral_swimming,1
247.314,n_a,1
256.262,lateral_swimming,1
260.628,n_a,1
265.499,lateral_swimming,1
268.302,n_a,1
276.743,lateral_swimming,1
278.546,n_a,1
333.334,lateral_swimming,1
339.206,n_a,1
345.35,gill_covered_display,1
346.886,lateral_swimming,1
348.181,n_a,1
352.787,lateral_swimming,1
353.819,n_a,1
364.826,lateral_swimming,1
378.879,n_a,1
388.591,lateral_swimming,1
389.361,n_a,1
394.758,gill_covered_display,1
398.065,lateral_swimming,1
405.506,n_a,1
421.154,gill_covered_display,1
424.491,n_a,1
429.863,gill_covered_display,1
430.363,ramming_biting,1
431.899,tail_beat,1
432.667,n_a,1
459.056,gill_covered_display,1
460.591,ramming_biting,1
463.663,gill_covered_display,1
464.666,lateral_swimming,1
466.971,tail_beat,1
468.001,n_a,1
472.106,ramming_biting,1
474.671,gill_covered_display,1
476.975,lateral_swimming,1
478.746,gill_covered_display,1
481.315,n_a,1
555.525,gill_covered_display,1
561.691,n_a,1
567.302,gill_covered_display,1
574.475,lateral_swimming,1
575.241,n_a,1
583.685,gill_covered_display,1
591.124,lateral_swimming,1
591.624,n_a,1
594.458,gill_covered_display,1
598.798,lateral_swimming,1
600.334,n_a,1
619.786,gill_covered_display,1
629.764,lateral_swimming,1
631.565,n_a,1
636.699,gill_covered_display,1
639.002,n_a,1
678.244,END,0
