time,code,class
41.309,n_a,1
123.559,gill_covered_display,1
127.662,lateral_swimming,1
134.569,gill_covered_display,1
135.6,ramming_biting,1
136.871,lateral_swimming,1
164.499,n_a,1
217.652,lateral_swimming,1
219.186,n_a,1
226.628,lateral_swimming,1
254.522,n_a,1
322.49,gill_covered_display,1
323.524,lateral_swimming,1
343.878,n_a,1
345.412,lateral_swimming,1
351.814,n_a,1
400.731,lateral_swimming,1
406.873,n_a,1
425.492,gill_covered_display,1
432.667,n_a,1
442.375,lateral_swimming,1
457.49,n_a,1
507.308,lateral_swimming,1
509.104,n_a,1
511.407,lateral_swimming,1
519.586,n_a,1
530.596,lateral_swimming,1
536.475,n_a,1
544.944,lateral_swimming,1
559.759,n_a,1
657.327,lateral_swimming,1
672.707,n_a,1
695.762,END,0
