time,code,class
25.392,n_a,1
28.698,gill_covered_display,1
37.037,lateral_swimming,1
45.479,tail_beat,1
49.583,n_a,1
53.921,lateral_swimming,1
54.688,n_a,1
66.467,lateral_swimming,1
67.235,n_a,1
104.367,lateral_swimming,1
108.678,n_a,1
112.013,lateral_swimming,1
112.779,n_a,1
152.72,lateral_swimming,1
156.122,n_a,1
236.603,lateral_swimming,1
239.174,gill_covered_display,1
240.944,lateral_swimming,1
242.242,gill_covered_display,1
246.58,lateral_swimming,1
248.12,n_a,1
289.389,lateral_swimming,1
291.691,n_a,1
385.385,lateral_swimming,1
388.454,n_a,1
390.491,lateral_swimming,1
392.292,gill_covered_display,1
398.431,lateral_swimming,1
400.495,tail_beat,1
401.265,n_a,1
408.24,lateral_swimming,1
409.51,n_a,1
526.827,lateral_swimming,1
535.037,gill_covered_display,1
537.604,n_a,1
561.596,lateral_swimming,1
563.397,n_a,1
565.633,lateral_swimming,1
569.202,n_a,1
682.749,END,0
