time,code,class
4.838,n_a,1
6.874,gill_covered_display,1
11.782,n_a,1
16.815,gill_covered_display,1
18.351,n_a,1
25.327,gill_covered_display,1
27.301,lateral_swimming,1
27.823,n_a,1
36.136,gill_covered_display,1
37.275,n_a,1
45.087,gill_covered_display,1
46.848,n_a,1
68.905,gill_covered_display,1
71.207,n_a,1
98.372,gill_covered_display,1
100.436,n_a,1
109.209,gill_covered_display,1
110.618,n_a,1
121.826,gill_covered_display,1
123.994,lateral_swimming,1
124.761,n_a,1
136.004,ramming_biting,1
137.088,gill_covered_display,1
138.884,n_a,1
142.313,gill_covered_display,1
143.214,n_a,1
165.035,gill_covered_display,1
166.703,n_a,1
240.177,gill_covered_display,1
242.256,n_a,1
285.744,ramming_biting,1
286.8,gill_covered_display,1
288.358,n_a,1
312.132,gill_covered_display,1
313.916,n_a,1
360.964,gill_covered_display,1
362.433,tail_beat,1
363.46,n_a,1
385.454,gill_covered_display,1
386.989,n_a,1
397.733,gill_covered_display,1
399.281,n_a,1
417.753,gill_covered_display,1
419.959,n_a,1
451.989,gill_covered_display,1
453.018,lateral_swimming,1
454.554,n_a,1
473.018,gill_covered_display,1
474.812,n_a,1
492.292,gill_covered_display,1
493.296,n_a,1
501.05,ramming_biting,1
502.206,n_a,1
507.99,gill_covered_display,1
510.633,n_a,1
554.324,gill_covered_display,1
555.091,ramming_biting,1
556.89,ramming_biting,1
558.16,lateral_swimming,1
559.194,n_a,1
602.638,gill_covered_display,1
604.206,lateral_swimming,1
605.423,n_a,1
626.929,gill_covered_display,1
628.464,n_a,1
662.999,ramming_biting,1
664.004,n_a,1
676.513,gill_covered_display,1
677.785,ramming_biting,1
679.342,lateral_swimming,1
680.217,n_a,1
725.828,gill_covered_display,1
727.364,n_a,1
750.986,lateral_swimming,1
752.281,n_a,1
781.222,gill_covered_display,1
783.35,n_a,1
802.074,ramming_biting,1
802.858,gill_covered_display,1
803.457,n_a,1
924.222,gill_covered_display,1
926.724,lateral_swimming,1
927.992,n_a,1
947.253,END,0
