time,code,class
34.565,n_a,1
48.41,lateral_swimming,1
51.986,n_a,1
79.813,tail_beat,1
81.883,n_a,1
92.122,lateral_swimming,1
94.427,n_a,1
144.645,gill_covered_display,1
145.679,lateral_swimming,1
146.446,n_a,1
170.267,lateral_swimming,1
173.073,n_a,1
182.043,lateral_swimming,1
183.317,n_a,1
499.802,gill_covered_display,1
501.1,lateral_swimming,1
503.904,gill_covered_display,1
505.438,lateral_swimming,1
507.24,n_a,1
508.272,gill_covered_display,1
509.543,ramming_biting,1
510.575,n_a,1
589.65,lateral_swimming,1
590.917,gill_covered_display,1
591.952,lateral_swimming,1
593.487,gill_covered_display,1
595.284,lateral_swimming,1
596.819,n_a,1
599.625,gill_covered_display,1
600.895,lateral_swimming,1
608.067,n_a,1
609.603,lateral_swimming,1
610.371,n_a,1
820.351,gill_covered_display,1
822.415,lateral_swimming,1
823.183,tail_beat,1
824.451,n_a,1
831.123,lateral_swimming,1
837.504,n_a,1
937.229,gill_covered_display,1
938.26,lateral_swimming,1
940.032,n_a,1
955.147,gill_covered_display,1
956.415,lateral_swimming,1
957.716,n_a,1
963.857,gill_covered_display,1
968.723,n_a,1
972.031,lateral_swimming,1
976.136,END,0
