time,code,class
35.036,n_a,1
49.783,gill_covered_display,1
53.889,lateral_swimming,1
65.4,n_a,1
179.313,lateral_swimming,1
191.558,gill_covered_display,1
195.429,lateral_swimming,1
210.676,n_a,1
247.111,lateral_swimming,1
252.957,n_a,1
259.363,lateral_swimming,1
282.917,n_a,1
289.456,lateral_swimming,1
293.359,n_a,1
318.969,lateral_swimming,1
322.589,n_a,1
329.44,lateral_swimming,1
334.41,n_a,1
342.453,gill_covered_display,1
344.929,lateral_swimming,1
354.137,n_a,1
435.787,lateral_swimming,1
454.431,n_a,1
463.313,lateral_swimming,1
470.321,n_a,1
487.606,gill_covered_display,1
491.233,n_a,1
497.078,ramming_biting,1
498.74,n_a,1
502.352,gill_covered_display,1
506.55,n_a,1
514.89,gill_covered_display,1
519.871,lateral_swimming,1
528.181,n_a,1
599.984,surface_breathing,1
601.919,n_a,1
851.169,gill_covered_display,1
852.831,lateral_swimming,1
858.643,n_a,1
959.2,gill_covered_display,1
961.679,n_a,1
977.761,END,0
