time,code,class
35.637,n_a,1
44.848,gill_covered_display,1
50.083,lateral_swimming,1
52.386,gill_covered_display,1
53.659,lateral_swimming,1
63.665,gill_covered_display,1
68.537,n_a,1
85.616,lateral_swimming,1
89.692,n_a,1
94.661,lateral_swimming,1
95.663,n_a,1
101.83,lateral_swimming,1
115.483,n_a,1
120.353,gill_covered_display,1
123.69,lateral_swimming,1
126.256,n_a,1
133.167,ramming_biting,1
134.171,lateral_swimming,1
140.506,n_a,1
156.957,lateral_swimming,1
164.634,surface_breathing,1
165.665,n_a,1
172.336,lateral_swimming,1
203.638,ramming_biting,1
206.206,n_a,1
207.741,lateral_swimming,1
226.865,n_a,1
227.896,lateral_swimming,1
236.603,ramming_biting,1
237.103,lateral_swimming,1
237.873,n_a,1
240.708,lateral_swimming,1
241.976,surface_breathing,1
243.01,lateral_swimming,1
243.777,n_a,1
251.482,lateral_swimming,1
272.9,ramming_biting,1
274.197,n_a,1
279.569,lateral_swimming,1
280.601,n_a,1
324.91,gill_covered_display,1
329.518,lateral_swimming,1
334.892,gill_covered_display,1
335.658,lateral_swimming,1
337.693,n_a,1
338.99,surface_breathing,1
339.996,n_a,1
380.442,lateral_swimming,1
383.005,surface_breathing,1
384.54,n_a,1
388.644,gill_covered_display,1
393.989,ramming_biting,1
394.756,gill_covered_display,1
398.617,ramming_biting,1
404.761,gill_covered_display,1
406.03,lateral_swimming,1
408.33,n_a,1
415.405,surface_breathing,1
417.177,n_a,1
420.777,ramming_biting,1
423.079,gill_covered_display,1
424.615,lateral_swimming,1
425.381,n_a,1
429.218,lateral_swimming,1
430.753,n_a,1
432.289,surface_breathing,1
433.561,n_a,1
435.887,gill_covered_display,1
438.192,lateral_swimming,1
440.494,n_a,1
453.039,surface_breathing,1
454.311,n_a,1
468.654,gill_covered_display,1
471.461,n_a,1
499.89,lateral_swimming,1
501.424,n_a,1
508.334,gill_covered_display,1
509.366,lateral_swimming,1
529.553,gill_covered_display,1
530.819,lateral_swimming,1
533.389,n_a,1
534.49,surface_breathing,1
535.258,n_a,1
541.431,lateral_swimming,1
543.47,n_a,1
552.441,gill_covered_display,1
555.512,n_a,1
565.892,gill_covered_display,1
573.43,n_a,1
589.044,lateral_swimming,1
590.579,surface_breathing,1
593.149,n_a,1
604.761,lateral_swimming,1
605.795,n_a,1
623.946,lateral_swimming,1
625.221,n_a,1
639.328,lateral_swimming,1
640.096,n_a,1
661.614,gill_covered_display,1
662.618,ramming_biting,1
663.387,lateral_swimming,1
668.258,n_a,1
671.834,gill_covered_display,1
675.164,ramming_biting,1
676.463,gill_covered_display,1
677.467,lateral_swimming,1
679.001,n_a,1
688.281,lateral_swimming,1
690.081,n_a,1
715.376,lateral_swimming,1
718.207,n_a,1
721.54,surface_breathing,1
722.545,n_a,1
723.844,lateral_swimming,1
725.114,n_a,1
789.245,gill_covered_display,1
791.043,lateral_swimming,1
792.048,n_a,1
794.617,lateral_swimming,1
798.191,n_a,1
827.011,lateral_swimming,1
827.779,n_a,1
833.655,lateral_swimming,1
837.492,n_a,1
839.3,gill_covered_display,1
840.328,lateral_swimming,1
842.631,n_a,1
851.339,lateral_swimming,1
854.677,n_a,1
855.705,gill_covered_display,1
857.746,lateral_swimming,1
859.247,n_a,1
915.27,gill_covered_display,1
917.072,ramming_biting,1
918.104,lateral_swimming,1
919.108,n_a,1
920.643,lateral_swimming,1
921.943,n_a,1
949.838,lateral_swimming,1
951.639,gill_covered_display,1
952.907,n_a,1
957.779,gill_covered_display,1
959.315,n_a,1
963.919,gill_covered_display,1
964.952,lateral_swimming,1
969.795,n_a,1
972.627,END,0
