time,code,class
36.271,n_a,1
406.307,gill_covered_display,1
410.203,ramming_biting,1
416.017,n_a,1
417.951,ramming_biting,1
420.186,lateral_swimming,1
424.357,n_a,1
426.33,surface_breathing,1
428.296,n_a,1
453.254,lateral_swimming,1
456.324,ramming_biting,1
461.06,n_a,1
481.953,lateral_swimming,1
491.185,ramming_biting,1
500.633,n_a,1
505.338,lateral_swimming,1
513.116,n_a,1
517.551,ramming_biting,1
530.934,n_a,1
535.727,ramming_biting,1
538.771,n_a,1
565.659,surface_breathing,1
567.302,n_a,1
657.992,lateral_swimming,1
666.929,n_a,1
672.198,lateral_swimming,1
673.84,n_a,1
693.894,surface_breathing,1
698.366,n_a,1
832.86,ramming_biting,1
836.737,n_a,1
856.422,surface_breathing,1
858.09,n_a,1
863.597,lateral_swimming,1
875.867,n_a,1
918.084,lateral_swimming,1
921.417,n_a,1
971.206,END,0
