time,code,class
38.872,n_a,1
40.19,gill_covered_display,1
43.343,lateral_swimming,1
46.682,gill_covered_display,1
71.369,lateral_swimming,1
72.906,gill_covered_display,1
74.972,lateral_swimming,1
77.498,gill_covered_display,1
95.658,lateral_swimming,1
97.695,gill_covered_display,1
100.529,tail_beat,1
103.84,n_a,1
108.971,gill_covered_display,1
114.079,lateral_swimming,1
115.11,gill_covered_display,1
119.476,n_a,1
122.549,tail_beat,1
123.818,lateral_swimming,1
124.586,gill_covered_display,1
129.458,lateral_swimming,1
130.725,gill_covered_display,1
145.574,lateral_swimming,1
146.869,n_a,1
149.941,gill_covered_display,1
176.86,n_a,1
182.612,gill_covered_display,1
193.622,n_a,1
195.423,gill_covered_display,1
196.959,n_a,1
199.498,gill_covered_display,1
214.609,n_a,1
215.644,tail_beat,1
217.417,n_a,1
219.982,gill_covered_display,1
233.823,n_a,1
236.896,gill_covered_display,1
259.922,tail_beat,1
261.456,gill_covered_display,1
281.441,n_a,1
286.047,gill_covered_display,1
298.061,n_a,1
299.095,gill_covered_display,1
317.28,n_a,1
321.884,gill_covered_display,1
346.708,n_a,1
365.898,gill_covered_display,1
375.136,n_a,1
375.637,gill_covered_display,1
399.961,n_a,1
401.23,gill_covered_display,1
409.673,n_a,1
411.741,tail_beat,1
415.311,n_a,1
432.226,gill_covered_display,1
436.063,n_a,1
455.25,gill_covered_display,1
460.386,n_a,1
461.389,gill_covered_display,1
469.834,n_a,1
478.541,gill_covered_display,1
497.993,n_a,1
509.272,gill_covered_display,1
531.529,tail_beat,1
532.298,n_a,1
534.863,gill_covered_display,1
563.925,tail_beat,1
564.959,n_a,1
586.207,gill_covered_display,1
613.343,n_a,1
617.445,gill_covered_display,1
629.992,n_a,1
631.025,gill_covered_display,1
638.434,tail_beat,1
639.471,n_a,1
641.269,gill_covered_display,1
651.245,n_a,1
654.316,gill_covered_display,1
656.35,n_a,1
663.792,gill_covered_display,1
674.535,tail_beat,1
678.639,gill_covered_display,1
680.174,n_a,1
697.588,tail_beat,1
699.361,n_a,1
717.545,gill_covered_display,1
724.72,n_a,1
734.695,gill_covered_display,1
743.404,n_a,1
758.252,gill_covered_display,1
783.846,n_a,1
784.613,gill_covered_display,1
793.823,tail_beat,1
801.528,gill_covered_display,1
832.06,n_a,1
836.405,gill_covered_display,1
851.273,n_a,1
855.617,gill_covered_display,1
879.674,n_a,1
884.278,gill_covered_display,1
885.579,n_a,1
917.812,gill_covered_display,1
928.055,n_a,1
937.269,tail_beat,1
940.1,n_a,1
964.159,lateral_swimming,1
965.692,gill_covered_display,1
970.036,END,0
