time,code,class
23.111,n_a,1
29.021,gill_covered_display,1
71.698,lateral_swimming,1
73.233,gill_covered_display,1
79.372,lateral_swimming,1
84.611,n_a,1
85.378,gill_covered_display,1
87.175,lateral_swimming,1
87.943,gill_covered_display,1
89.984,n_a,1
93.053,surface_breathing,1
94.087,gill_covered_display,1
98.163,lateral_swimming,1
101.256,n_a,1
105.864,gill_covered_display,1
108.167,lateral_swimming,1
112.242,n_a,1
123.783,surface_breathing,1
124.551,gill_covered_display,1
125.554,lateral_swimming,1
126.853,n_a,1
129.395,gill_covered_display,1
131.719,lateral_swimming,1
133.76,n_a,1
136.328,gill_covered_display,1
137.597,n_a,1
146.307,gill_covered_display,1
149.377,lateral_swimming,1
150.143,n_a,1
158.586,gill_covered_display,1
160.387,lateral_swimming,1
165.021,n_a,1
166.556,gill_covered_display,1
173.466,lateral_swimming,1
176.776,gill_covered_display,1
177.303,ramming_biting,1
180.107,gill_covered_display,1
186.012,lateral_swimming,1
187.016,gill_covered_display,1
196.489,ramming_biting,1
201.362,surface_breathing,1
202.129,n_a,1
202.895,gill_covered_display,1
208.268,n_a,1
224.413,surface_breathing,1
226.186,n_a,1
228.756,gill_covered_display,1
234.762,n_a,1
242.44,gill_covered_display,1
244.744,lateral_swimming,1
247.573,n_a,1
251.145,gill_covered_display,1
256.016,lateral_swimming,1
257.817,n_a,1
259.086,gill_covered_display,1
266.759,lateral_swimming,1
268.561,gill_covered_display,1
269.329,lateral_swimming,1
271.632,n_a,1
274.701,gill_covered_display,1
276.502,lateral_swimming,1
298.353,gill_covered_display,1
301.16,lateral_swimming,1
303.197,surface_breathing,1
304.231,n_a,1
306.032,gill_covered_display,1
308.334,lateral_swimming,1
310.11,n_a,1
313.201,gill_covered_display,1
317.81,lateral_swimming,1
318.578,gill_covered_display,1
322.915,n_a,1
326.252,gill_covered_display,1
327.521,lateral_swimming,1
329.586,n_a,1
331.358,surface_breathing,1
332.391,gill_covered_display,1
338.798,ramming_biting,1
341.601,gill_covered_display,1
343.665,ramming_biting,1
348.273,n_a,1
350.045,gill_covered_display,1
352.35,lateral_swimming,1
355.948,gill_covered_display,1
359.018,lateral_swimming,1
364.658,n_a,1
365.661,surface_breathing,1
369.501,tail_beat,1
370.796,n_a,1
407.303,gill_covered_display,1
409.608,ramming_biting,1
411.933,gill_covered_display,1
412.94,lateral_swimming,1
415.509,surface_breathing,1
416.778,gill_covered_display,1
421.147,n_a,1
422.151,gill_covered_display,1
432.157,lateral_swimming,1
438.364,gill_covered_display,1
442.736,lateral_swimming,1
443.741,gill_covered_display,1
446.046,n_a,1
447.601,surface_breathing,1
449.644,n_a,1
452.445,gill_covered_display,1
457.583,lateral_swimming,1
459.885,n_a,1
476.269,gill_covered_display,1
480.874,lateral_swimming,1
481.906,gill_covered_display,1
487.012,lateral_swimming,1
487.78,gill_covered_display,1
493.447,lateral_swimming,1
495.989,surface_breathing,1
497.791,gill_covered_display,1
507.528,lateral_swimming,1
511.605,gill_covered_display,1
518.012,lateral_swimming,1
524.418,n_a,1
544.638,lateral_swimming,1
545.906,gill_covered_display,1
554.375,n_a,1
573.768,gill_covered_display,1
574.8,n_a,1
578.905,lateral_swimming,1
580.44,n_a,1
581.975,lateral_swimming,1
587.613,gill_covered_display,1
593.223,lateral_swimming,1
594.759,gill_covered_display,1
606.299,lateral_swimming,1
607.834,gill_covered_display,1
616.541,n_a,1
622.416,gill_covered_display,1
624.985,n_a,1
631.892,surface_breathing,1
632.924,n_a,1
658.251,surface_breathing,1
659.786,n_a,1
667.727,gill_covered_display,1
676.701,n_a,1
681.807,lateral_swimming,1
698.12,n_a,1
703.731,lateral_swimming,1
704.765,gill_covered_display,1
707.067,n_a,1
710.403,gill_covered_display,1
714.741,n_a,1
720.647,gill_covered_display,1
723.45,n_a,1
740.834,lateral_swimming,1
776.433,gill_covered_display,1
779.506,n_a,1
785.117,lateral_swimming,1
788.977,n_a,1
792.818,lateral_swimming,1
796.388,n_a,1
801.26,lateral_swimming,1
814.573,n_a,1
818.945,lateral_swimming,1
836.962,n_a,1
840.033,lateral_swimming,1
843.87,n_a,1
846.173,lateral_swimming,1
850.543,n_a,1
853.613,lateral_swimming,1
855.147,n_a,1
879.245,lateral_swimming,1
880.28,n_a,1
895.127,lateral_swimming,1
896.161,n_a,1
918.417,lateral_swimming,1
919.953,n_a,1
923.289,surface_breathing,1
924.321,n_a,1
938.4,lateral_swimming,1
942.741,n_a,1
965.53,lateral_swimming,1
971.169,n_a,1
973.539,END,0
