time,code,class
22.824,n_a,1
25.125,gill_covered_display,1
27.158,n_a,1
31.962,lateral_swimming,1
40.407,n_a,1
40.908,gill_covered_display,1
45.012,tail_beat,1
47.314,gill_covered_display,1
50.62,n_a,1
51.121,tail_beat,1
52.656,n_a,1
54.456,gill_covered_display,1
55.991,lateral_swimming,1
56.758,gill_covered_display,1
60.996,lateral_swimming,1
66.867,tail_beat,1
68.402,gill_covered_display,1
71.74,lateral_swimming,1
81.216,gill_covered_display,1
84.549,surface_breathing,1
86.32,lateral_swimming,1
94.262,gill_covered_display,1
95.796,n_a,1
97.094,gill_covered_display,1
99.901,lateral_swimming,1
106.307,tail_beat,1
108.08,n_a,1
108.87,gill_covered_display,1
109.877,lateral_swimming,1
112.948,n_a,1
114.749,gill_covered_display,1
117.818,lateral_swimming,1
120.387,n_a,1
121.923,surface_breathing,1
123.696,n_a,1
126.022,gill_covered_display,1
127.027,lateral_swimming,1
128.829,n_a,1
130.63,lateral_swimming,1
140.341,n_a,1
141.375,lateral_swimming,1
145.98,n_a,1
146.748,lateral_swimming,1
148.282,gill_covered_display,1
150.852,tail_beat,1
152.887,n_a,1
153.654,lateral_swimming,1
160.325,tail_beat,1
163.631,lateral_swimming,1
169.27,n_a,1
170.566,lateral_swimming,1
174.908,tail_beat,1
176.176,n_a,1
178.246,lateral_swimming,1
187.717,tail_beat,1
188.989,lateral_swimming,1
193.594,n_a,1
195.397,surface_breathing,1
196.664,lateral_swimming,1
201.029,gill_covered_display,1
201.798,lateral_swimming,1
208.443,tail_beat,1
214.849,n_a,1
215.878,lateral_swimming,1
217.652,gill_covered_display,1
220.988,lateral_swimming,1
222.022,tail_beat,1
225.329,lateral_swimming,1
226.361,gill_covered_display,1
229.168,lateral_swimming,1
232,tail_beat,1
234.301,lateral_swimming,1
240.708,gill_covered_display,1
241.711,lateral_swimming,1
256.824,gill_covered_display,1
258.096,lateral_swimming,1
289.328,gill_covered_display,1
290.357,lateral_swimming,1
292.159,gill_covered_display,1
293.189,lateral_swimming,1
308.805,gill_covered_display,1
309.811,lateral_swimming,1
315.952,gill_covered_display,1
317.252,lateral_swimming,1
324.159,surface_breathing,1
325.693,gill_covered_display,1
327.995,lateral_swimming,1
338.173,gill_covered_display,1
338.94,lateral_swimming,1
345.846,gill_covered_display,1
346.88,lateral_swimming,1
359.16,surface_breathing,1
360.433,lateral_swimming,1
363.994,gill_covered_display,1
364.763,lateral_swimming,1
392.659,surface_breathing,1
394.195,lateral_swimming,1
411.846,surface_breathing,1
413.647,lateral_swimming,1
419.287,ramming_biting,1
420.314,lateral_swimming,1
423.623,gill_covered_display,1
424.923,ramming_biting,1
427.994,lateral_swimming,1
430.297,tail_beat,1
434.634,n_a,1
436.169,lateral_swimming,1
446.413,tail_beat,1
447.949,lateral_swimming,1
455.622,tail_beat,1
457.691,lateral_swimming,1
461.262,ramming_biting,1
467.4,tail_beat,1
469.971,lateral_swimming,1
477.644,gill_covered_display,1
479.706,lateral_swimming,1
484.553,gill_covered_display,1
489.69,tail_beat,1
492.996,lateral_swimming,1
498.633,gill_covered_display,1
500.166,lateral_swimming,1
507.608,tail_beat,1
509.91,gill_covered_display,1
510.919,lateral_swimming,1
512.475,tail_beat,1
514.779,ramming_biting,1
516.315,tail_beat,1
517.318,surface_breathing,1
519.622,lateral_swimming,1
521.926,n_a,1
523.99,lateral_swimming,1
529.3,tail_beat,1
532.933,lateral_swimming,1
535.001,n_a,1
539.866,tail_beat,1
540.874,gill_covered_display,1
542.938,lateral_swimming,1
555.221,gill_covered_display,1
556.251,lateral_swimming,1
560.327,gill_covered_display,1
562.629,n_a,1
568.269,lateral_swimming,1
572.873,tail_beat,1
575.442,lateral_swimming,1
581.182,n_a,1
584.617,lateral_swimming,1
588.187,gill_covered_display,1
589.222,lateral_swimming,1
590.49,gill_covered_display,1
591.524,lateral_swimming,1
595.866,tail_beat,1
597.164,lateral_swimming,1
600.733,tail_beat,1
603.568,lateral_swimming,1
607.14,tail_beat,1
611.744,gill_covered_display,1
613.279,lateral_swimming,1
615.081,surface_breathing,1
617.884,n_a,1
621.723,lateral_swimming,1
624.557,tail_beat,1
625.825,gill_covered_display,1
627.628,lateral_swimming,1
636.57,n_a,1
637.604,lateral_swimming,1
640.674,surface_breathing,1
643.243,lateral_swimming,1
657.989,gill_covered_display,1
660.527,n_a,1
662.064,gill_covered_display,1
664.368,lateral_swimming,1
667.461,ramming_biting,1
668.469,lateral_swimming,1
681.542,tail_beat,1
683.078,lateral_swimming,1
684.352,tail_beat,1
687.42,lateral_swimming,1
693.297,n_a,1
698.203,lateral_swimming,1
699.499,gill_covered_display,1
701.802,lateral_swimming,1
713.819,tail_beat,1
715.115,lateral_swimming,1
717.679,surface_breathing,1
718.684,tail_beat,1
722.022,lateral_swimming,1
730.463,surface_breathing,1
731.497,gill_covered_display,1
734.3,tail_beat,1
738.671,lateral_swimming,1
752.752,gill_covered_display,1
753.52,lateral_swimming,1
756.589,tail_beat,1
758.363,lateral_swimming,1
774.748,gill_covered_display,1
777.84,tail_beat,1
779.111,lateral_swimming,1
784.483,gill_covered_display,1
785.519,tail_beat,1
788.588,lateral_swimming,1
800.579,tail_beat,1
801.936,lateral_swimming,1
806.806,tail_beat,1
809.876,lateral_swimming,1
817.55,tail_beat,1
821.893,lateral_swimming,1
836.502,tail_beat,1
838.037,lateral_swimming,1
850.584,tail_beat,1
853.653,lateral_swimming,1
856.218,tail_beat,1
856.987,lateral_swimming,1
861.595,surface_breathing,1
863.129,tail_beat,1
864.902,lateral_swimming,1
871.066,n_a,1
872.602,lateral_swimming,1
878.745,n_a,1
879.749,lateral_swimming,1
888.454,surface_breathing,1
890.257,lateral_swimming,1
896.397,tail_beat,1
898.438,lateral_swimming,1
919.215,tail_beat,1
921.253,lateral_swimming,1
924.323,tail_beat,1
927.827,lateral_swimming,1
935.769,ramming_biting,1
938.571,lateral_swimming,1
955.722,tail_beat,1
957.257,lateral_swimming,1
958.024,surface_breathing,1
958.791,lateral_swimming,1
962.629,n_a,1
963.664,gill_covered_display,1
964.698,lateral_swimming,1
966.999,gill_covered_display,1
971.098,lateral_swimming,1
971.867,n_a,1
973.539,END,0
